EntityName,EntityID,Time,LocationName,LocationID
Manual worker 1,7,2244,MP2_(ZGN_02)_Location,12
Operator 1,4,2245,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 1,7,2245,MP2_(ZGN_02)_Location,12
Manual worker 1,7,2246,M4-01_(FR4_01)_Location,3
Operator 1,4,2247,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 1,7,2248,M4-01_(FR4_01)_Location,3
Operator 1,4,2248,MP3_(UITG_M)_Location,17
Manual worker 1,7,2249,MP2_(ZGN_02)_Location,12
Operator 1,4,2250,MP3_(UITG_M)_Location,17
Manual worker 1,7,2251,MP2_(ZGN_02)_Location,12
Operator 1,4,2252,MP3_(UITG_M)_Location,17
Manual worker 1,7,2252,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,2253,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,2254,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,2255,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 1,7,2255,M4-01_(FR4_01)_Location,3
Operator 1,4,2256,BW_(BKW_01)_Location,13
Manual worker 1,7,2256,BW_(BKW_01)_Location,13
Manual worker 1,7,2257,BW_(BKW_01)_Location,13
Operator 1,4,2258,BW_(BKW_01)_Location,13
Manual worker 1,7,2258,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,2259,CentralBuffer_Location,0
Manual worker 1,7,2260,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,2260,PACK_(VERP_P)_Location,14
Manual worker 1,7,2261,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Operator 1,4,2261,PACK_(VERP_P)_Location,14
Manual worker 1,7,2262,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Operator 1,4,2262,CentralBuffer_Location,0
Manual worker 1,7,2263,M3-01_(FR3_01)_Location,1
Operator 1,4,2264,CentralBuffer_Location,0
Manual worker 1,7,2265,M3-01_(FR3_01)_Location,1
Operator 1,4,2265,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 1,7,2266,MP3_(UITG_M)_Location,17
Operator 1,4,2267,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Manual worker 1,7,2267,MP3_(UITG_M)_Location,17
Operator 1,4,2268,MP3_(UITG_M)_Location,17
