OperationID,Name,ProcessTime
109,Milling _ RCW plug 2_[00522-01718-A],0
110,BW - Benchwork _ RCW plug 2_[00522-01718-A],0
111,Cleanin_ RCW plug 2_[00522-01718-A],0
112,Packaging _ RCW plug 2_[00522-01718-A],0
113,Material prep _ Valve body 3-way 2 sensors_[080-810005-A2],0
114,Milling _ Valve body 3-way 2 sensors_[080-810005-A2],0
115,BW - Benchwork _ Valve body 3-way 2 sensors_[080-810005-A2],0
116,Anodisin_ Valve body 3-way 2 sensors_[080-810005-A2],0
117,Packaging _ Valve body 3-way 2 sensors_[080-810005-A2],0
118,Material prep _ Manifold coolant banjo M14_[082-000020-A1],0
119,Milling _ Manifold coolant banjo M14_[082-000020-A1],0
120,BW - Benchwork _ Manifold coolant banjo M14_[082-000020-A1],0
121,Anodisin_ Manifold coolant banjo M14_[082-000020-A1],0
122,Packaging _ Manifold coolant banjo M14_[082-000020-A1],0
123,Material prep _ Filler block CNG_[095-500029-A 1],0
124,Milling _ Filler block CNG_[095-500029-A 1],0
125,BW - Benchwork _ Filler block CNG_[095-500029-A 1],0
126,Anodisin_ Filler block CNG_[095-500029-A 1],0
127,Packaging _ Filler block CNG_[095-500029-A 1],0
128,Material prep _ ADJ.PLATE 2 OBJ._[1001823A],0
129,Milling _ ADJ.PLATE 2 OBJ._[1001823A],0
130,BW - Benchwork _ ADJ.PLATE 2 OBJ._[1001823A],0
131,Packaging _ ADJ.PLATE 2 OBJ._[1001823A],0
132,Material prep _ Cord Bracket_[1011113A],0
133,Milling _ Cord Bracket_[1011113A],0
134,BW - Benchwork _ Cord Bracket_[1011113A],0
135,Packaging _ Cord Bracket_[1011113A],0
136,"Material prep _ CLAMP,PIPE,NIC_[1012609B]",0
137,"Milling _ CLAMP,PIPE,NIC_[1012609B]",0
138,"BW - Benchwork _ CLAMP,PIPE,NIC_[1012609B]",0
139,"Packaging _ CLAMP,PIPE,NIC_[1012609B]",0
140,Material prep _ Block cooling water TMP_[1082700B],0
141,Milling _ Block cooling water TMP_[1082700B],0
142,BW - Benchwork _ Block cooling water TMP_[1082700B],0
143,Packaging _ Block cooling water TMP_[1082700B],0
144,Picking _ base wet stem quatro_[1200745A],0
145,Milling _ base wet stem quatro_[1200745A],0
146,BW - Benchwork _ base wet stem quatro_[1200745A],0
147,Sandblastin_ base wet stem quatro_[1200745A],0
148,Nickel platin_ base wet stem quatro_[1200745A],0
149,Packaging _ base wet stem quatro_[1200745A],0
150,"Material prep - automatic sawing _ shackle, height adjust_[1202210A]",0
151,"Milling _ shackle, height adjust_[1202210A]",0
152,"Packaging _ shackle, height adjust_[1202210A]",0
153,"Sawin_ fixing block, actuator_[1202211B]",0
154,"Milling _ fixing block, actuator_[1202211B]",0
155,"Packaging _ fixing block, actuator_[1202211B]",0
156,"Millin_ intercon.panel,R-STEM_[1202461A]",0
157,"Packaging _ intercon.panel,R-STEM_[1202461A]",0
158,Milling - OP_ Cable clamp_[1207568A],0
159,Packaging _ Cable clamp_[1207568A],0
160,Material prep _ BYPASS (BLOK)_[349520-8007-000-0107],0
161,Milling _ BYPASS (BLOK)_[349520-8007-000-0107],0
162,BW - Benchwork _ BYPASS (BLOK)_[349520-8007-000-0107],0
163,Packaging _ BYPASS (BLOK)_[349520-8007-000-0107],0
164,Material prep _ Excenter housing z_[4022-290-63221-D],0
165,Milling _ Excenter housing z_[4022-290-63221-D],0
166,BW - Benchwork _ Excenter housing z_[4022-290-63221-D],0
167,Packaging _ Excenter housing z_[4022-290-63221-D],0
168,Material prep _ Bearing housing spindle (rev F)_[4022-290-63321F],0
169,Milling _ Bearing housing spindle (rev F)_[4022-290-63321F],0
170,BW - Benchwork _ Bearing housing spindle (rev F)_[4022-290-63321F],0
171,Packaging _ Bearing housing spindle (rev F)_[4022-290-63321F],0
172,Material prep _ lagerblok_[4022-333-11506],0
173,Milling _ lagerblok_[4022-333-11506],0
174,BW - Benchwork _ lagerblok_[4022-333-11506],0
175,Packaging _ lagerblok_[4022-333-11506],0
176,Material prep _ dr pnt cilinder_[4022-333-13805],0
177,Milling _ dr pnt cilinder_[4022-333-13805],0
178,Passivatin_ dr pnt cilinder_[4022-333-13805],0
179,BW - Benchwork _ dr pnt cilinder_[4022-333-13805],0
180,Packaging _ dr pnt cilinder_[4022-333-13805],0
181,Picking _ BRIL_[4022-333-19505],0
182,Milling _ BRIL_[4022-333-19505],0
183,BW - Benchwork _ BRIL_[4022-333-19505],0
184,Packaging _ BRIL_[4022-333-19505],0
185,Material prep _ DUMMY KRISTAL_[4022-333-40501],0
186,Milling _ DUMMY KRISTAL_[4022-333-40501],0
187,BW - Benchwork _ DUMMY KRISTAL_[4022-333-40501],0
188,Packaging _ DUMMY KRISTAL_[4022-333-40501],0
189,Material prep _ KIJKERHOUDER_[4022-333-58172],0
190,Milling _ KIJKERHOUDER_[4022-333-58172],0
191,BW - Benchwork _ KIJKERHOUDER_[4022-333-58172],0
192,Anodisin_ KIJKERHOUDER_[4022-333-58172],0
193,Packaging _ KIJKERHOUDER_[4022-333-58172],0
194,Material prep _ Filterhouder Cu 0.1_[4022-333-58791],0
195,Milling _ Filterhouder Cu 0.1_[4022-333-58791],0
196,BW - Benchwork _ Filterhouder Cu 0.1_[4022-333-58791],0
197,Packaging _ Filterhouder Cu 0.1_[4022-333-58791],0
198,Material prep _ Filterh. Cu0.2 Ni0.02_[4022-335-17991],0
199,Milling _ Filterh. Cu0.2 Ni0.02_[4022-335-17991],0
200,BW - Benchwork _ Filterh. Cu0.2 Ni0.02_[4022-335-17991],0
201,Packaging _ Filterh. Cu0.2 Ni0.02_[4022-335-17991],0
202,Material prep _ filter holder_[4022-335-71012],0
203,Milling _ filter holder_[4022-335-71012],0
204,BW - Benchwork _ filter holder_[4022-335-71012],0
205,Packaging _ filter holder_[4022-335-71012],0
206,Material prep _ HOLDER FOR SHUTTER_[4022-337-30992],0
207,Milling _ HOLDER FOR SHUTTER_[4022-337-30992],0
208,BW - Benchwork _ HOLDER FOR SHUTTER_[4022-337-30992],0
209,Packaging _ HOLDER FOR SHUTTER_[4022-337-30992],0
210,Material prep _ arret holder_[4022-337-33842],0
211,Milling _ arret holder_[4022-337-33842],0
212,BW - Benchwork _ arret holder_[4022-337-33842],0
213,Packaging _ arret holder_[4022-337-33842],0
214,Picking _ RING_[4022-454-25012],0
