JobID,Quantity,Deadline,OrderID,ProductID,OperationID
1,60,2025-10-07,__export__.mrp_production_4731_76da22f3,105,214
2,60,2025-10-07,__export__.mrp_production_4731_76da22f3,105,213
3,60,2025-10-07,__export__.mrp_production_4731_76da22f3,105,212
4,60,2025-10-07,__export__.mrp_production_4731_76da22f3,105,__export__.mrp_workcenter_64_95992ef5
7,50,2025-10-10,__export__.mrp_production_4543_067bdfa8,60,144
8,50,2025-10-06,__export__.mrp_production_4543_067bdfa8,60,143
9,50,2025-10-06,__export__.mrp_production_4543_067bdfa8,60,142
10,50,2025-10-06,__export__.mrp_production_4543_067bdfa8,60,141
11,50,2025-10-06,__export__.mrp_production_4543_067bdfa8,60,140
12,50,2025-10-06,__export__.mrp_production_4543_067bdfa8,60,__export__.mrp_workcenter_64_95992ef5
13,1,2025-10-08,__export__.mrp_production_4869_1b77fe36,106,218
14,1,2025-10-08,__export__.mrp_production_4869_1b77fe36,106,217
15,1,2025-10-08,__export__.mrp_production_4869_1b77fe36,106,216
16,1,2025-10-08,__export__.mrp_production_4869_1b77fe36,106,__export__.mrp_workcenter_63_98a7a00b
17,2,2025-10-09,__export__.mrp_production_4741_f9eb701f,109,__export__.mrp_workcenter_63_98a7a00b
32,374,2025-10-22,__export__.mrp_production_4690_a8692658,48,122
33,374,2025-10-09,__export__.mrp_production_4690_a8692658,48,121
34,374,2025-10-08,__export__.mrp_production_4690_a8692658,48,120
35,374,2025-10-06,__export__.mrp_production_4690_a8692658,48,119
36,374,2025-10-06,__export__.mrp_production_4690_a8692658,48,__export__.mrp_workcenter_63_98a7a00b
73,30,2025-10-27,__export__.mrp_production_4536_e5dc26fa,99,230
74,30,2025-10-20,__export__.mrp_production_4536_e5dc26fa,99,206
75,30,2025-10-06,__export__.mrp_production_4536_e5dc26fa,99,205
76,30,2025-10-06,__export__.mrp_production_4536_e5dc26fa,99,__export__.mrp_workcenter_65_c1e1b939
77,10,2025-10-15,__export__.mrp_production_4684_d8802bab,114,233
78,10,2025-10-15,__export__.mrp_production_4684_d8802bab,114,232
79,10,2025-10-15,__export__.mrp_production_4684_d8802bab,114,__export__.mrp_workcenter_63_98a7a00b
80,10,2025-10-15,__export__.mrp_production_4685_7369251b,115,236
81,10,2025-10-15,__export__.mrp_production_4685_7369251b,115,235
82,10,2025-10-15,__export__.mrp_production_4685_7369251b,115,__export__.mrp_workcenter_63_98a7a00b
83,4,2025-10-21,__export__.mrp_production_4703_9eee2266,120,239
84,4,2025-10-17,__export__.mrp_production_4703_9eee2266,120,238
85,4,2025-10-17,__export__.mrp_production_4703_9eee2266,120,__export__.mrp_workcenter_63_98a7a00b
86,4,2025-10-31,__export__.mrp_production_4848_336bef31,157,250
87,4,2025-10-31,__export__.mrp_production_4848_336bef31,157,__export__.mrp_workcenter_63_98a7a00b
88,633,2025-10-31,__export__.mrp_production_4692_3ecd6c55,124,248
89,633,2025-10-29,__export__.mrp_production_4692_3ecd6c55,124,247
90,633,2025-10-29,__export__.mrp_production_4692_3ecd6c55,124,246
91,633,2025-10-27,__export__.mrp_production_4692_3ecd6c55,124,245
92,633,2025-10-27,__export__.mrp_production_4692_3ecd6c55,124,__export__.mrp_workcenter_63_98a7a00b
93,40,2025-11-03,__export__.mrp_production_4875_38ec7d1f,72,165
94,40,2025-10-23,__export__.mrp_production_4875_38ec7d1f,72,164
95,40,2025-10-21,__export__.mrp_production_4875_38ec7d1f,72,163
96,40,2025-10-17,__export__.mrp_production_4875_38ec7d1f,72,162
97,40,2025-10-16,__export__.mrp_production_4875_38ec7d1f,72,161
98,40,2025-10-16,__export__.mrp_production_4875_38ec7d1f,72,160
99,40,2025-10-16,__export__.mrp_production_4875_38ec7d1f,72,__export__.mrp_workcenter_63_98a7a00b
100,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,17
101,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,16
102,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,15
103,27,2025-12-30,__export__.mrp_production_1104_d3ae4426,7,14
104,27,2025-12-30,__export__.mrp_production_1104_d3ae4426,7,__export__.mrp_workcenter_63_98a7a00b
105,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,64
106,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,63
107,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,62
108,68,2025-12-30,__export__.mrp_production_1197_849443cd,25,__export__.mrp_workcenter_59_d6deab7b
109,761,2025-12-31,__export__.mrp_production_4593_b4e857db,38,105
110,761,2025-12-18,__export__.mrp_production_4593_b4e857db,38,104
111,761,2025-12-16,__export__.mrp_production_4593_b4e857db,38,103
112,761,2025-12-11,__export__.mrp_production_4593_b4e857db,38,102
113,761,2025-11-21,__export__.mrp_production_4593_b4e857db,38,101
