JobID,Quantity,Deadline,OrderID,ProductID,OperationID
5,27,2025-12-30,__export__.mrp_production_1104_d3ae4426,7,12
4,27,2025-12-30,__export__.mrp_production_1104_d3ae4426,7,13
3,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,14
2,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,15
1,27,2025-12-31,__export__.mrp_production_1104_d3ae4426,7,16
9,68,2025-12-30,__export__.mrp_production_1197_849443cd,25,53
8,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,54
7,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,55
6,68,2025-12-31,__export__.mrp_production_1197_849443cd,25,56
15,761,2025-12-04,__export__.mrp_production_4593_b4e857db,38,86
14,761,2025-12-04,__export__.mrp_production_4593_b4e857db,38,87
13,761,2025-12-24,__export__.mrp_production_4593_b4e857db,38,88
12,761,2025-12-29,__export__.mrp_production_4593_b4e857db,38,89
11,761,2025-12-31,__export__.mrp_production_4593_b4e857db,38,90
10,761,2025-12-31,__export__.mrp_production_4593_b4e857db,38,91
18,14,2025-12-24,__export__.mrp_production_4893_d2806c1c,99,184
17,14,2025-12-24,__export__.mrp_production_4893_d2806c1c,99,185
16,14,2025-12-31,__export__.mrp_production_4893_d2806c1c,99,186
23,40,2026-01-08,__export__.mrp_production_4686_6722c6ae,176,232
22,40,2026-01-08,__export__.mrp_production_4686_6722c6ae,176,233
21,40,2026-01-08,__export__.mrp_production_4686_6722c6ae,176,234
20,40,2026-01-08,__export__.mrp_production_4686_6722c6ae,176,235
19,40,2026-01-08,__export__.mrp_production_4686_6722c6ae,176,236
28,40,2026-02-13,__export__.mrp_production_4683_3c974083,111,201
27,40,2026-02-13,__export__.mrp_production_4683_3c974083,111,202
26,40,2026-02-13,__export__.mrp_production_4683_3c974083,111,203
25,40,2026-02-13,__export__.mrp_production_4683_3c974083,111,204
24,40,2026-02-13,__export__.mrp_production_4683_3c974083,111,205
33,40,2026-02-13,__export__.mrp_production_4682_124f4246,177,237
32,40,2026-02-13,__export__.mrp_production_4682_124f4246,177,238
31,40,2026-02-13,__export__.mrp_production_4682_124f4246,177,239
30,40,2026-02-13,__export__.mrp_production_4682_124f4246,177,240
29,40,2026-02-13,__export__.mrp_production_4682_124f4246,177,241
