ResourceID,Day,ShiftNo,JobID,SchStart,SchCompletion
__export__.mrp_workcenter_63_98a7a00b,2025-11-10,1,5,9.0,9.7
__export__.mrp_workcenter_63_98a7a00b,2025-11-10,1,15,9.7,17.0
__export__.mrp_workcenter_63_98a7a00b,2025-11-10,2,15,17.0,22.633333333333333
__export__.mrp_workcenter_54_3f0243e1,2025-11-10,1,22,9.666666666666666,15.166666666666666
__export__.mrp_workcenter_54_3f0243e1,2025-11-10,1,27,15.166666666666666,17.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-10,2,27,17.0,19.333333333333332
__export__.mrp_workcenter_54_3f0243e1,2025-11-10,2,32,19.333333333333332,23.5
__export__.mrp_workcenter_54_3f0243e1,2025-11-12,1,8,57.0,64.16666666666667
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,1,13,345.0,353.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-24,2,13,353.0,361.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-25,1,13,369.0,377.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-25,2,13,377.0,385.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-26,1,13,393.0,401.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-26,2,13,401.0,409.0
__export__.mrp_workcenter_54_3f0243e1,2025-11-27,1,13,417.0,421.23333333333335
__export__.mrp_workcenter_66_9f807a30,2025-11-10,1,21,15.166666666666666,16.5
__export__.mrp_workcenter_66_9f807a30,2025-11-10,2,26,19.333333333333332,20.666666666666664
__export__.mrp_workcenter_66_9f807a30,2025-11-10,2,31,23.5,24.833333333333332
__export__.mrp_workcenter_66_9f807a30,2025-11-12,2,7,65.0,70.66666666666667
__export__.mrp_workcenter_66_9f807a30,2025-11-14,1,2,105.0,106.8
__export__.mrp_workcenter_68_8bff6631,2025-11-10,2,19,17.666666666666668,25.0
__export__.mrp_workcenter_68_8bff6631,2025-11-10,2,24,21.333333333333332,25.0
__export__.mrp_workcenter_68_8bff6631,2025-11-11,1,19,33.0,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-11,1,24,33.0,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-11,1,29,33.666666666666664,41.0
__export__.mrp_workcenter_68_8bff6631,2025-11-11,2,19,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-11,2,24,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-11,2,29,41.0,49.0
__export__.mrp_workcenter_68_8bff6631,2025-11-12,1,19,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-12,1,24,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-12,1,29,57.0,65.0
__export__.mrp_workcenter_68_8bff6631,2025-11-12,2,19,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-12,2,24,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-12,2,29,65.0,73.0
__export__.mrp_workcenter_68_8bff6631,2025-11-13,1,19,81.0,89.0
