ResourceID,Day,ShiftNo,JobID,SchStart,SchCompletion
4,2025-08-18,1,24,9.0,17.0
4,2025-08-18,2,24,17.0,18.9
4,2025-08-18,2,73,18.9,19.75
4,2025-08-18,2,10,19.75,20.05
4,2025-08-18,2,25,20.05,25.0
4,2025-08-19,1,25,33.0,37.95
4,2025-08-19,1,74,37.95,38.800000000000004
4,2025-08-19,1,26,38.800000000000004,41.0
4,2025-08-19,2,26,41.0,48.7
4,2025-08-19,2,41,48.7,49.0
4,2025-08-20,1,41,57.0,65.0
4,2025-08-20,2,41,65.0,70.7
5,2025-08-18,1,16,9.0,17.0
5,2025-08-18,2,16,17.0,25.0
5,2025-08-19,1,16,33.0,33.3
5,2025-08-19,1,40,33.3,41.0
5,2025-08-19,2,40,41.0,47.3
5,2025-08-19,2,29,47.3,49.0
5,2025-08-20,1,29,57.0,57.699999999999996
5,2025-08-20,1,50,57.699999999999996,60.9
5,2025-08-20,1,58,60.9,61.766666666666666
5,2025-08-20,1,64,61.766666666666666,62.68333333333333
5,2025-08-20,1,71,62.68333333333333,64.71666666666667
5,2025-08-20,2,42,70.7,73.0
5,2025-08-21,1,42,81.0,89.0
5,2025-08-21,2,42,89.0,92.7
7,2025-08-19,1,522,34.03333333333327,41.0
7,2025-08-19,2,522,41.0,41.53333333333327
7,2025-08-19,2,643,41.53333333333327,41.69999999999993
7,2025-08-19,2,295,41.69999999999993,48.36666666666659
7,2025-08-19,2,325,48.36666666666659,49.0
7,2025-08-20,1,325,57.0,63.033333333333246
7,2025-08-20,1,530,63.033333333333246,65.0
7,2025-08-20,2,530,65.0,73.0
7,2025-08-21,1,530,81.0,87.6999999999999
7,2025-08-21,1,638,87.6999999999999,88.09999999999991
7,2025-08-21,1,662,88.09999999999991,89.0
7,2025-08-21,2,662,89.0,89.76666666666658
7,2025-08-21,2,925,89.76666666666658,93.76666666666658
7,2025-08-21,2,1622,93.76666666666658,97.0
7,2025-08-22,1,1622,105.0,113.0
7,2025-08-22,2,1622,113.0,115.51666666666658
7,2025-08-22,2,3093,115.51666666666658,121.0
7,2025-08-23,1,3093,129.0,137.0
7,2025-08-23,2,3093,137.0,140.18333333333325
7,2025-08-23,2,371,140.18333333333325,141.78333333333325
7,2025-08-23,2,401,141.78333333333325,143.38333333333324
7,2025-08-23,2,431,143.38333333333324,145.0
7,2025-08-24,1,431,153.0,153.78333333333325
7,2025-08-24,1,461,153.78333333333325,156.18333333333325
7,2025-08-24,1,827,156.18333333333325,158.58333333333326
7,2025-08-24,1,1944,158.58333333333326,161.0
7,2025-08-24,2,1944,161.0,163.58333333333326
7,2025-08-24,2,1975,163.58333333333326,168.58333333333326
7,2025-08-24,2,635,168.58333333333326,168.9166666666666
8,2025-08-18,1,630,9.0,9.333333333333332
