JobPredecessorID,JobSuccessorID
5,4
4,3
3,2
2,1
9,8
8,7
7,6
15,14
14,13
13,12
12,11
11,10
18,17
17,16
23,22
22,21
21,20
20,19
28,27
27,26
26,25
25,24
33,32
32,31
31,30
30,29
