ResourceID,Shift,JobID,Starttime,Day
4,1,65,0,1
4,1,64,1.5999999999999936,1
4,1,63,2.933333333333322,1
4,1,62,4.26666666666665,1
4,1,61,5.599999999999978,1
4,1,60,6.933333333333307,1
4,2,60,0,1
4,2,59,1.3333333333333282,1
4,2,58,2.133333333333325,1
4,2,57,2.9333333333333216,1
4,2,56,3.999999999999984,1
4,2,55,4.799999999999981,1
4,2,131,5.599999999999978,1
4,1,131,0,2
4,1,130,1.999999999999992,2
4,1,129,3.5999999999999854,2
4,1,128,5.199999999999979,2
4,1,127,6.799999999999972,2
4,2,127,0,2
4,2,126,1.5999999999999936,2
4,2,125,3.1999999999999873,2
4,2,124,3.999999999999984,2
4,2,123,4.799999999999981,2
4,2,122,5.599999999999978,2
4,2,121,6.3999999999999755,2
4,1,121,0,3
4,1,197,0.7999999999999968,3
4,1,196,3.1999999999999873,3
4,1,195,5.19999999999998,3
4,1,194,7.199999999999972,3
4,2,194,0,3
4,2,193,1.999999999999992,3
4,2,192,3.999999999999984,3
4,2,191,5.999999999999976,3
4,1,191,0,4
4,1,190,1.1999999999999953,4
4,1,189,2.3999999999999906,4
4,1,188,3.599999999999986,4
4,1,187,4.799999999999981,4
4,1,263,5.999999999999977,4
4,2,263,0,4
4,2,262,2.3999999999999906,4
4,2,261,4.399999999999983,4
4,2,260,6.399999999999975,4
4,1,260,0,5
4,1,259,1.999999999999992,5
4,1,258,3.999999999999984,5
4,1,257,5.999999999999976,5
4,1,256,7.199999999999971,5
4,2,256,0,5
4,2,255,1.1999999999999953,5
4,2,254,2.3999999999999906,5
4,2,253,3.599999999999986,5
4,2,323,4.799999999999981,5
4,2,322,5.6333333333333115,5
4,2,321,6.466666666666642,5
4,1,321,0,6
4,1,320,0.83333333333333,6
4,1,319,1.66666666666666,6
4,1,318,2.4999999999999902,6
4,1,317,3.33333333333332,6
4,1,316,4.16666666666665,6
4,1,315,4.9999999999999805,6
4,1,314,5.833333333333311,6
4,1,1527,6.666666666666641,6
4,1,1526,7.06666666666664,6
4,1,1525,7.466666666666638,6
4,1,1524,7.866666666666637,6
