JobID,Quantity,Deadline,OrderID,ProductID,OperationID
221,1.0,2025-09-04,51,500,1005
222,1.0,2025-09-04,51,500,1005
223,1.0,2025-09-04,51,500,1004
224,1.0,2025-09-08,52,501,1008
225,1.0,2025-09-08,52,501,1008
226,1.0,2025-09-08,52,501,1008
227,1.0,2025-09-08,52,501,1007
228,1.0,2025-09-16,53,503,1011
229,1.0,2025-09-16,53,503,1011
230,1.0,2025-09-16,53,503,1011
231,1.0,2025-09-16,53,503,1010
232,1.0,2025-09-15,54,498,1002
233,1.0,2025-09-15,54,498,1002
234,1.0,2025-09-15,54,498,1002
235,1.0,2025-09-15,54,498,1001
244,53.0,2025-08-21,111,131,387
245,53.0,2025-08-21,111,131,386
246,53.0,2025-08-21,111,131,385
247,53.0,2025-08-21,111,131,384
248,53.0,2025-08-21,111,131,383
264,150.0,2025-08-22,108,27,70
265,150.0,2025-08-22,108,27,68
266,150.0,2025-08-22,108,27,67
267,150.0,2025-08-22,108,27,67
268,150.0,2025-08-22,108,27,66
293,100.0,2025-08-25,109,29,76
294,100.0,2025-08-25,109,29,74
295,100.0,2025-08-25,109,29,73
296,100.0,2025-08-25,109,29,72
297,100.0,2025-08-25,109,29,72
298,100.0,2025-08-25,109,29,71
323,100.0,2025-08-25,110,33,87
324,100.0,2025-08-25,110,33,85
325,100.0,2025-08-25,110,33,84
326,100.0,2025-08-25,110,33,83
327,100.0,2025-08-25,110,33,83
328,100.0,2025-08-25,110,33,82
329,40.0,2025-08-19,5,170,526
330,40.0,2025-08-19,5,170,525
331,40.0,2025-08-19,5,170,524
332,40.0,2025-08-19,5,170,524
333,40.0,2025-08-19,5,170,523
334,40.0,2025-08-19,5,170,523
335,40.0,2025-08-19,5,170,522
336,40.0,2025-08-19,6,168,521
337,40.0,2025-08-19,6,168,520
338,40.0,2025-08-19,6,168,519
339,40.0,2025-08-19,6,168,519
340,40.0,2025-08-19,6,168,518
341,40.0,2025-08-19,6,168,518
342,40.0,2025-08-19,6,168,517
368,24.0,2025-08-26,58,239,730
369,24.0,2025-08-26,58,239,728
370,24.0,2025-08-26,58,239,727
371,24.0,2025-08-26,58,239,726
372,24.0,2025-08-26,58,239,725
398,16.0,2025-08-26,62,2,11
399,16.0,2025-08-26,62,2,9
