OperationID,Name,ProcessTime,Predecessor
0,Material prep (ZGN_02)_[BD50-5075-011-E]  bracket,0.016666666666666666,{}
1,Milling (FR3_01)_[BD50-5075-011-E]  bracket,0.06666666666666667,Material prep (ZGN_02)_[BD50-5075-011-E]  bracket
2,BW - Benchwork (BKW_01)_[BD50-5075-011-E]  bracket,0.03333333333333333,Milling (FR3_01)_[BD50-5075-011-E]  bracket
3,Packaging (VERP_P)_[BD50-5075-011-E]  bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[BD50-5075-011-E]  bracket
4,Chromising_[BD50-5075-011-E]  bracket,75.0,Packaging (VERP_P)_[BD50-5075-011-E]  bracket
5,Packaging (VERP_P)_[BD50-5075-011-E]  bracket_2,0.016666666666666666,Chromising_[BD50-5075-011-E]  bracket
6,Material prep (ZGN_02)_[BD50-5075-013F]  bracket,0.016666666666666666,{}
7,Milling (FR3_01)_[BD50-5075-013F]  bracket,0.1,Material prep (ZGN_02)_[BD50-5075-013F]  bracket
8,BW - Benchwork (BKW_01)_[BD50-5075-013F]  bracket,0.03333333333333333,Milling (FR3_01)_[BD50-5075-013F]  bracket
9,Packaging (VERP_P)_[BD50-5075-013F]  bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[BD50-5075-013F]  bracket
10,Chromising_[BD50-5075-013F]  bracket,75.0,Packaging (VERP_P)_[BD50-5075-013F]  bracket
11,Packaging (VERP_P)_[BD50-5075-013F]  bracket_2,0.016666666666666666,Chromising_[BD50-5075-013F]  bracket
12,Material prep (ZGN_02)_[BD50-5075-015F]  bracket,0.016666666666666666,{}
13,Milling (FR3_01)_[BD50-5075-015F]  bracket,0.1,Material prep (ZGN_02)_[BD50-5075-015F]  bracket
14,BW - Benchwork (BKW_01)_[BD50-5075-015F]  bracket,0.03333333333333333,Milling (FR3_01)_[BD50-5075-015F]  bracket
15,Packaging (VERP_P)_[BD50-5075-015F]  bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[BD50-5075-015F]  bracket
16,Chromising_[BD50-5075-015F]  bracket,75.0,Packaging (VERP_P)_[BD50-5075-015F]  bracket
17,Packaging (VERP_P)_[BD50-5075-015F]  bracket_2,0.016666666666666666,Chromising_[BD50-5075-015F]  bracket
18,Material prep (ZGN_02)_[BD50-5085-007-C]  bracket,0.016666666666666666,{}
19,Milling (FR3_01)_[BD50-5085-007-C]  bracket,0.1,Material prep (ZGN_02)_[BD50-5085-007-C]  bracket
20,BW - Benchwork (BKW_01)_[BD50-5085-007-C]  bracket,0.03333333333333333,Milling (FR3_01)_[BD50-5085-007-C]  bracket
21,Packaging (VERP_P)_[BD50-5085-007-C]  bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[BD50-5085-007-C]  bracket
22,Chromising_[BD50-5085-007-C]  bracket,75.0,Packaging (VERP_P)_[BD50-5085-007-C]  bracket
23,Packaging (VERP_P)_[BD50-5085-007-C]  bracket_2,0.016666666666666666,Chromising_[BD50-5085-007-C]  bracket
24,Material prep (ZGN_02)_[BD50-5085-009-C]  bracket,0.016666666666666666,{}
25,Milling (FR3_01)_[BD50-5085-009-C]  bracket,0.1,Material prep (ZGN_02)_[BD50-5085-009-C]  bracket
26,BW - Benchwork (BKW_01)_[BD50-5085-009-C]  bracket,0.03333333333333333,Milling (FR3_01)_[BD50-5085-009-C]  bracket
27,Packaging (VERP_P)_[BD50-5085-009-C]  bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[BD50-5085-009-C]  bracket
28,Chromising_[BD50-5085-009-C]  bracket,75.0,Packaging (VERP_P)_[BD50-5085-009-C]  bracket
29,Packaging (VERP_P)_[BD50-5085-009-C]  bracket_2,0.016666666666666666,Chromising_[BD50-5085-009-C]  bracket
30,Material prep (ZGN_02)_[BD50-5085-011-C]  bracket,0.016666666666666666,{}
31,Milling (FR3_01)_[BD50-5085-011-C]  bracket,0.1,Material prep (ZGN_02)_[BD50-5085-011-C]  bracket
32,BW - Benchwork (BKW_01)_[BD50-5085-011-C]  bracket,0.03333333333333333,Milling (FR3_01)_[BD50-5085-011-C]  bracket
33,Packaging (VERP_P)_[BD50-5085-011-C]  bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[BD50-5085-011-C]  bracket
34,Chromising_[BD50-5085-011-C]  bracket,75.0,Packaging (VERP_P)_[BD50-5085-011-C]  bracket
35,Packaging (VERP_P)_[BD50-5085-011-C]  bracket_2,0.016666666666666666,Chromising_[BD50-5085-011-C]  bracket
36,Material prep (ZGN_01)_[1078121B]  Block cooling water tmp,0.016666666666666666,{}
37,Milling (FR5_01)_[1078121B]  Block cooling water tmp,0.3333333333333333,Material prep (ZGN_01)_[1078121B]  Block cooling water tmp
38,Milling (FR3_01)_[1078121B]  Block cooling water tmp,0.05,Milling (FR5_01)_[1078121B]  Block cooling water tmp
39,BW - Benchwork (BKW_01)_[1078121B]  Block cooling water tmp,0.05,Milling (FR3_01)_[1078121B]  Block cooling water tmp
40,Packaging (VERP_P)_[1078121B]  Block cooling water tmp,0.016666666666666666,BW - Benchwork (BKW_01)_[1078121B]  Block cooling water tmp
41,Material prep (ZGN_02)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.016666666666666666,{}
42,Milling (FR4-01)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.05,Material prep (ZGN_02)_[4022-335-19371]  Filterhouder Ni 0.02mm
43,BW - Benchwork (BKW_01)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.08333333333333333,Milling (FR4-01)_[4022-335-19371]  Filterhouder Ni 0.02mm
44,Packaging (VERP_P)_[4022-335-19371]  Filterhouder Ni 0.02mm,0.01694444444444445,BW - Benchwork (BKW_01)_[4022-335-19371]  Filterhouder Ni 0.02mm
45,Zagen_[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907,0.016666666666666666,{}
46,Milling_[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907,0.4166666666666667,Zagen_[7005-2580-0004]  Stroke Limiter Plate RX-L / 26223907
47,Material prep (ZGN_01)_[00236-05-103-C]  geleideblok spanrol,0.016666666666666666,{}
48,Milling (FR4-01)_[00236-05-103-C]  geleideblok spanrol,0.26666666666666666,Material prep (ZGN_01)_[00236-05-103-C]  geleideblok spanrol
49,Milling (FR3_02)_[00236-05-103-C]  geleideblok spanrol,0.03333333333333333,Milling (FR4-01)_[00236-05-103-C]  geleideblok spanrol
50,Anodising_[00236-05-103-C]  geleideblok spanrol,37.5,Milling (FR3_02)_[00236-05-103-C]  geleideblok spanrol
51,Packaging (VERP_P)_[00236-05-103-C]  geleideblok spanrol,0.016666666666666666,Anodising_[00236-05-103-C]  geleideblok spanrol
52,Material prep (ZGN_01)_[00385-00-102-C]  Height bearing clamp plate,0.016666666666666666,{}
53,Milling (FR4-01)_[00385-00-102-C]  Height bearing clamp plate,0.13333333333333333,Material prep (ZGN_01)_[00385-00-102-C]  Height bearing clamp plate
54,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate,0.05,Milling (FR4-01)_[00385-00-102-C]  Height bearing clamp plate
55,Painting_[00385-00-102-C]  Height bearing clamp plate,150.0,Milling (FR3_01)_[00385-00-102-C]  Height bearing clamp plate
56,Packaging (VERP_P)_[00385-00-102-C]  Height bearing clamp plate,0.016666666666666666,Painting_[00385-00-102-C]  Height bearing clamp plate
