PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022-337-33842],120,2026-09-08 08:00:00,2026-09-08 11:10:00,M5-02_(FR5_02),190.0,14925.0,120,[4022-337-33842] arret holder,2026-07-16 12:00:00,TBRM /MO/01824
[4022-455-09997-3],40,2026-09-08 11:20:00,2026-09-08 16:50:00,M5-02_(FR5_02),330.0,14931.0,40,[4022-455-09997-3] post 7,2026-08-18 02:00:00,TBRM /MO/01807
[4023-001-43251B],15,2026-09-08 17:00:00,2026-09-08 20:00:00,M5-02_(FR5_02),180.0,15010.0,15,[4023-001-43251B] Block detection RI,2026-09-18 02:00:00,TBRM /MO/01938
[7005-2580-0007],8,2026-09-08 20:00:00,2026-09-09 17:30:00,M5-02_(FR5_02),1290.0,16269.0,8,[7005-2580-0007] Support block  / 07201506 v02-00 - Drawing in RED,2026-09-28 02:00:00,TBRM /MO/02215
[4022-333-13805],250,2026-09-09 17:40:00,2026-09-11 21:10:00,M5-02_(FR5_02),3090.0,14917.0,250,[4022-333-13805] dr pnt cilinder,2027-02-08 12:00:00,TBRM /MO/02357
[4022-333-11506],86,2026-09-23 08:00:00,2026-09-24 15:40:00,M5-02_(FR5_02),1896.0,14916.0,86,[4022-333-11506] lagerblok,2026-12-31 12:00:00,TBRM /MO/01615
