PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022.737.00811/AA],3,2026-09-09 08:50:00,2026-09-09 10:20:00,M3-01_(FR3_01),90.0,18794.0,3,[4022.737.00811/AA] EXE VS YNOZ DUCT GR1 COVER,2026-08-13 12:38:53,TBRM /MO/02372
[4022-337-33842],120,2026-09-09 11:10:00,2026-09-09 13:20:00,M3-01_(FR3_01),122.0,14925.0,120,[4022-337-33842] arret holder,2026-07-16 12:00:00,TBRM /MO/01824
[7001-2580-0023],10,2026-09-09 13:30:00,2026-09-10 09:50:00,M3-01_(FR3_01),740.0,17773.0,10,[7001-2580-0023] TOP PLATE / FM / FM-02-003-C,2026-09-02 02:00:00,TBRM /MO/01943
[7001-2580-0002],20,2026-09-10 11:20:00,2026-09-10 12:50:00,M3-01_(FR3_01),90.0,17687.0,20,[7001-2580-0002] MT Lever / FM / FM2010-M00004 Rev. D,2026-08-10 02:00:00,TBRM /MO/01935
[4022-455-09992],60,2026-09-10 13:20:00,2026-09-10 16:50:00,M3-01_(FR3_01),210.0,14928.0,60,[4022-455-09992] POST 2,2026-08-17 02:00:00,TBRM /MO/01806
[4022-451-22801B],6,2026-09-10 17:00:00,2026-09-10 18:30:00,M3-01_(FR3_01),90.0,15540.0,6,[4022-451-22801B] RS Lock MF-X Preload Housing,2026-09-15 13:00:00,TBRM /MO/02302
[4022-455-09997-3],40,2026-09-10 18:40:00,2026-09-10 20:50:00,M3-01_(FR3_01),130.0,14931.0,40,[4022-455-09997-3] post 7,2026-08-18 02:00:00,TBRM /MO/01807
[4022-680-50231],25,2026-09-10 21:00:00,2026-09-11 15:20:00,M3-01_(FR3_01),615.0,14996.0,25,[4022-680-50231] MBI WS MK2 F&T BMA CONNECT 1,2026-09-03 02:00:00,TBRM /MO/02306
[7007-2500-0010],1,2026-09-11 16:00:00,2026-09-11 18:30:00,M3-01_(FR3_01),150.0,19199.0,1,[7007-2500-0010] 263 - EL5 Bottom Side Panel Right (Dark) No Coating / IAH / 2026.SPX.0263.20.20,2026-07-10 12:57:03,TBRM /MO/01797
[7001-2580-0023],10,2026-09-11 18:40:00,2026-09-15 11:00:00,M3-01_(FR3_01),1460.0,17773.0,10,[7001-2580-0023] TOP PLATE / FM / FM-02-003-C,2026-09-02 02:00:00,TBRM /MO/01943
[4022.632.63021],1600,2026-09-15 12:00:00,2026-09-15 19:30:00,M3-01_(FR3_01),450.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-10-05 02:00:00,TBRM /MO/02354
[BD50-5075-015F],20,2026-09-15 19:40:00,2026-09-15 23:10:00,M3-01_(FR3_01),210.0,15030.0,20,[BD50-5075-015F] bracket,2026-11-12 01:00:00,TBRM /MO/01844
[00429-00-662-B],400,2026-09-16 08:00:00,2026-09-16 11:10:00,M3-01_(FR3_01),190.0,14895.0,400,[00429-00-662-B] Arret lever,2026-08-06 12:00:00,TBRM /MO/02299
[M0216-01-363-B],90,2026-09-16 11:20:00,2026-09-18 22:50:00,M3-01_(FR3_01),2610.0,15042.0,90,[M0216-01-363-B] nul-graden arretsegment,2026-09-02 12:00:00,TBRM /MO/02364
[4022-671-49061],152,2026-09-18 23:00:00,2026-09-21 21:10:00,M3-01_(FR3_01),850.0,14988.0,152,[4022-671-49061] Bpam front 1,2026-10-05 02:00:00,TBRM /MO/02308
[BD50-5085-009-C],57,2026-09-21 21:20:00,2026-09-22 12:40:00,M3-01_(FR3_01),432.0,15032.0,57,[BD50-5085-009-C] bracket,2026-11-12 01:00:00,TBRM /MO/01834
[4022-333-11506],86,2026-09-22 12:40:00,2026-09-22 15:40:00,M3-01_(FR3_01),176.0,14916.0,86,[4022-333-11506] lagerblok,2026-12-31 12:00:00,TBRM /MO/01615
[4022-671-49061],108,2026-09-22 16:00:00,2026-09-23 19:30:00,M3-01_(FR3_01),1170.0,14988.0,108,[4022-671-49061] Bpam front 1,2026-09-11 02:00:00,TBRM /MO/01830
[BD50-5085-011-C],20,2026-09-23 19:40:00,2026-09-23 23:10:00,M3-01_(FR3_01),210.0,15033.0,20,[BD50-5085-011-C] bracket,2026-11-12 01:00:00,TBRM /MO/01836
[E.520002-001],392,2026-09-24 08:00:00,2026-09-24 10:30:00,M3-01_(FR3_01),146.0,17609.0,392,[E.520002-001] mounting relay,2026-08-25 02:00:00,TBRM /MO/02321
[4022-666-3837-1],200,2026-09-24 10:40:00,2026-09-24 22:10:00,M3-01_(FR3_01),690.0,14985.0,200,[4022-666-3837-1] LSPH Bellow Clamp,2026-10-08 02:00:00,TBRM /MO/02296
[BD50-5075-013F],20,2026-09-24 22:20:00,2026-09-25 09:50:00,M3-01_(FR3_01),210.0,15029.0,20,[BD50-5075-013F] bracket,2026-11-12 01:00:00,TBRM /MO/01842
[BD50-5085-011-C],50,2026-09-25 17:20:00,2026-09-25 23:50:00,M3-01_(FR3_01),390.0,15033.0,50,[BD50-5085-011-C] bracket,2026-11-12 01:00:00,TBRM /MO/01837
[4022.632.63021],1600,2026-09-28 14:40:00,2026-09-28 22:10:00,M3-01_(FR3_01),450.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-11-10 01:00:00,TBRM /MO/02356
[4022-333-11506],86,2026-09-28 22:20:00,2026-09-29 15:00:00,M3-01_(FR3_01),520.0,14916.0,86,[4022-333-11506] lagerblok,2026-12-31 12:00:00,TBRM /MO/01615
[4022-333-13805],250,2026-09-30 09:20:00,2026-09-30 19:10:00,M3-01_(FR3_01),590.0,14917.0,250,[4022-333-13805] dr pnt cilinder,2027-02-08 12:00:00,TBRM /MO/02357
[4598-008-08901B POS 1],300,2026-10-01 16:00:00,2026-10-02 21:30:00,M3-01_(FR3_01),1290.0,15022.0,300,[4598-008-08901B POS 1] CEILING INLET*,2026-10-26 01:00:00,TBRM /MO/02307
[00385-00-321-A],714,2026-10-06 13:20:00,2026-10-09 14:30:00,M3-01_(FR3_01),2946.0,14890.0,714,[00385-00-321-A] Plint fixing strip left,2027-02-08 12:00:00,TBRM /MO/02311
