PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[00385-00-274-D],616,2026-09-04 08:10:00,2026-09-08 08:30:00,M3-01_(FR3_01),1938.0,14888.0,616,[00385-00-274-D] Filling block,2026-05-14 12:00:00,TBRM /MO/01668
[4022.737.00811/AA],3,2026-09-08 08:40:00,2026-09-08 10:10:00,M3-01_(FR3_01),90.0,18794.0,3,[4022.737.00811/AA] EXE VS YNOZ DUCT GR1 COVER,2026-08-13 12:38:53,TBRM /MO/02372
[00385-00-329-A],473,2026-09-08 10:40:00,2026-09-09 19:50:00,M3-01_(FR3_01),1509.0,14891.0,473,[00385-00-329-A] End plate finger safety hinge,2026-07-23 12:00:00,TBRM /MO/01823
[4022-674-35671],46,2026-09-09 20:00:00,2026-09-10 17:00:00,M3-01_(FR3_01),780.0,14992.0,46,[4022-674-35671] MBI WS LTT SSXY MAN PLUG,2026-09-23 02:00:00,TBRM /MO/02297
[00002033- 04],3,2026-09-10 17:10:00,2026-09-10 18:40:00,M3-01_(FR3_01),90.0,19696.0,3,[00002033- 04] ADAPTER PLATE,2026-11-20 13:00:00,TBRM /MO/02238
[4022.622.19821],5,2026-09-10 18:40:00,2026-09-10 20:10:00,M3-01_(FR3_01),90.0,19415.0,5,[4022.622.19821] RH NXE RBI BAFFLE INSERT,2027-02-01 12:00:00,TBRM /MO/02359
[4022.632.63021],1600,2026-09-10 20:40:00,2026-09-11 12:10:00,M3-01_(FR3_01),450.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-11-10 01:00:00,TBRM /MO/02356
[BD50-5075-013F],20,2026-09-11 12:20:00,2026-09-11 15:50:00,M3-01_(FR3_01),210.0,15029.0,20,[BD50-5075-013F] bracket,2026-11-12 01:00:00,TBRM /MO/01842
[BD50-5075-015F],20,2026-09-11 12:20:00,2026-09-11 15:50:00,M3-01_(FR3_01),210.0,15030.0,20,[BD50-5075-015F] bracket,2026-11-12 01:00:00,TBRM /MO/01844
[4022.632.63021],1600,2026-09-11 16:00:00,2026-09-11 23:30:00,M3-01_(FR3_01),450.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-10-05 02:00:00,TBRM /MO/02354
[BD50-5085-013-C],55,2026-09-11 23:40:00,2026-09-14 14:40:00,M3-01_(FR3_01),420.0,15034.0,55,[BD50-5085-013-C] bracket,2026-11-12 01:00:00,TBRM /MO/01838
[00429-00-662-B],400,2026-09-14 16:00:00,2026-09-14 19:10:00,M3-01_(FR3_01),190.0,14895.0,400,[00429-00-662-B] Arret lever,2026-08-06 12:00:00,TBRM /MO/02299
