PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[00385-00-113A],700,2026-09-07 08:00:00,2026-09-07 19:40:00,MP3_(UITG_M),700.0,14887.0,700,[00385-00-113A] Tensioner plate,2026-06-08 12:00:00,TBRM /MO/01730
N26241507V01-04 - JH Bottom Cover,4,2026-09-07 19:50:00,2026-09-07 20:00:00,MP3_(UITG_M),4.0,17538.0,4,N26241507V01-04 - JH Bottom Cover,2026-08-12 02:00:00,TBRM /MO/02291
N26241508V01-04 - JH Top Cover,4,2026-09-07 20:00:00,2026-09-08 08:00:00,MP3_(UITG_M),240.0,17537.0,4,N26241508V01-04 - JH Top Cover,2026-08-12 02:00:00,TBRM /MO/02290
[4022.666.20971-TBRM MCH],500,2026-09-08 08:00:00,2026-09-08 16:20:00,MP3_(UITG_M),500.0,13691.0,500,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-09-14 02:00:00,TBRM /MO/02255-002
[7005-2580-0015],5,2026-09-08 16:30:00,2026-09-08 16:40:00,MP3_(UITG_M),5.0,17993.0,5,[7005-2580-0015] Baseplate V01-00 / NFI / 27244702,2026-10-05 02:00:00,TBRM /MO/02368
[7005-2580-0010],4,2026-09-08 16:30:00,2026-09-08 16:40:00,MP3_(UITG_M),1.0,16360.0,4,[7005-2580-0010] Cylinder bracket V01-00 / NFI / 27244703,2026-10-05 02:00:00,TBRM /MO/02370
[7005-2580-0014],5,2026-09-08 16:40:00,2026-09-08 16:50:00,MP3_(UITG_M),5.0,17992.0,5,[7005-2580-0014] Backplate V01-00 / NFI / 27244701,2026-10-05 02:00:00,TBRM /MO/02367
[4022.666.20971-TBRM MCH],500,2026-10-01 08:00:00,2026-10-01 16:20:00,MP3_(UITG_M),500.0,13691.0,500,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-11-10 01:00:00,TBRM /MO/02355
