PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7007-2500-0010],1,2026-09-03 08:00:00,2026-09-03 10:30:00,M3-02_(FR3_02),150.0,19199.0,1,[7007-2500-0010] 263 - EL5 Bottom Side Panel Right (Dark) No Coating / IAH / 2026.SPX.0263.20.20,2026-07-10 12:57:03,TBRM /MO/01797
[4022.737.00811/AA],3,2026-09-03 10:40:00,2026-09-03 12:10:00,M3-02_(FR3_02),90.0,18794.0,3,[4022.737.00811/AA] EXE VS YNOZ DUCT GR1 COVER,2026-08-13 12:38:53,TBRM /MO/02372
[7001-2580-0002],20,2026-09-03 13:30:00,2026-09-03 15:00:00,M3-02_(FR3_02),90.0,17687.0,20,[7001-2580-0002] MT Lever / FM / FM2010-M00004 Rev. D,2026-08-10 02:00:00,TBRM /MO/01935
[4023-002-16111],10,2026-09-03 15:10:00,2026-09-03 16:40:00,M3-02_(FR3_02),90.0,19792.0,10,[4023-002-16111] filter plate wide Zr0.02,2026-08-28 15:00:00,TBRM /MO/02305
[4023-001-43251B],15,2026-09-03 16:50:00,2026-09-03 20:20:00,M3-02_(FR3_02),210.0,15010.0,15,[4023-001-43251B] Block detection RI,2026-09-18 02:00:00,TBRM /MO/01938
[4022-451-22801B],6,2026-09-03 20:20:00,2026-09-03 21:50:00,M3-02_(FR3_02),90.0,15540.0,6,[4022-451-22801B] RS Lock MF-X Preload Housing,2026-09-15 13:00:00,TBRM /MO/02302
[4022.622.19821],5,2026-09-03 22:00:00,2026-09-03 23:30:00,M3-02_(FR3_02),90.0,19415.0,5,[4022.622.19821] RH NXE RBI BAFFLE INSERT,2027-02-01 12:00:00,TBRM /MO/02359
[7001-2580-0023],10,2026-09-04 08:40:00,2026-09-04 21:00:00,M3-02_(FR3_02),740.0,17773.0,10,[7001-2580-0023] TOP PLATE / FM / FM-02-003-C,2026-09-02 02:00:00,TBRM /MO/01943
[00002033- 04],3,2026-09-04 21:10:00,2026-09-04 22:40:00,M3-02_(FR3_02),90.0,19696.0,3,[00002033- 04] ADAPTER PLATE,2026-11-20 13:00:00,TBRM /MO/02238
[4022-455-09992],60,2026-09-07 08:00:00,2026-09-07 11:30:00,M3-02_(FR3_02),210.0,14928.0,60,[4022-455-09992] POST 2,2026-08-17 02:00:00,TBRM /MO/01806
[M0216-01-363-B],90,2026-09-07 13:20:00,2026-09-07 19:20:00,M3-02_(FR3_02),360.0,15042.0,90,[M0216-01-363-B] nul-graden arretsegment,2026-09-02 12:00:00,TBRM /MO/02364
[4022-680-50231],25,2026-09-07 19:30:00,2026-09-08 13:50:00,M3-02_(FR3_02),615.0,14996.0,25,[4022-680-50231] MBI WS MK2 F&T BMA CONNECT 1,2026-09-03 02:00:00,TBRM /MO/02306
[7007-2500-0010],1,2026-09-08 16:00:00,2026-09-08 18:30:00,M3-02_(FR3_02),150.0,19199.0,1,[7007-2500-0010] 263 - EL5 Bottom Side Panel Right (Dark) No Coating / IAH / 2026.SPX.0263.20.20,2026-07-10 12:57:03,TBRM /MO/01797
[M0216-01-363-B],90,2026-09-08 18:40:00,2026-09-11 14:10:00,M3-02_(FR3_02),2610.0,15042.0,90,[M0216-01-363-B] nul-graden arretsegment,2026-09-02 12:00:00,TBRM /MO/02364
[4022.632.63021],1600,2026-09-11 14:20:00,2026-09-11 21:50:00,M3-02_(FR3_02),450.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-11-10 01:00:00,TBRM /MO/02356
[4022-666-18121],342,2026-09-14 08:00:00,2026-09-17 12:50:00,M3-02_(FR3_02),3168.0,14984.0,342,[4022-666-18121] Distance Bush 1,2026-07-21 02:00:00,TBRM /MO/01809
[E.520002-001],392,2026-09-17 17:00:00,2026-09-17 19:30:00,M3-02_(FR3_02),146.0,17609.0,392,[E.520002-001] mounting relay,2026-08-25 02:00:00,TBRM /MO/02321
[4022-666-3837-1],200,2026-09-17 19:40:00,2026-09-18 21:50:00,M3-02_(FR3_02),1090.0,14985.0,200,[4022-666-3837-1] LSPH Bellow Clamp,2026-10-08 02:00:00,TBRM /MO/02296
[4022-666-3837-1],200,2026-09-18 22:00:00,2026-09-21 17:30:00,M3-02_(FR3_02),690.0,14985.0,200,[4022-666-3837-1] LSPH Bellow Clamp,2026-10-08 02:00:00,TBRM /MO/02296
[BD50-5085-011-C],20,2026-09-21 17:40:00,2026-09-21 21:10:00,M3-02_(FR3_02),210.0,15033.0,20,[BD50-5085-011-C] bracket,2026-11-12 01:00:00,TBRM /MO/01836
[BD50-5085-013-C],55,2026-09-22 12:20:00,2026-09-22 19:20:00,M3-02_(FR3_02),420.0,15034.0,55,[BD50-5085-013-C] bracket,2026-11-12 01:00:00,TBRM /MO/01838
[00385-00-346-A],279,2026-09-23 10:40:00,2026-09-24 14:50:00,M3-02_(FR3_02),1206.0,14892.0,279,[00385-00-346-A] Plint fixing strip right,2027-02-08 12:00:00,TBRM /MO/02310
[7001-2580-0044],20,2026-09-29 16:00:00,2026-09-29 21:30:00,M3-02_(FR3_02),326.67,18721.0,20,[7001-2580-0044] ST Clamping Axle / FM / FM2010-M00009 Rev. D,2026-08-10 02:00:00,TBRM /MO/01864
