PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022-656-73531],86,2026-09-22 08:00:00,2026-09-22 14:50:00,UMC400_(M5-06),404.0,14976.0,86,[4022-656-73531] Pipe clamp exhaust FW 1980,2026-09-11 02:00:00,TBRM /MO/02330
[4022.684.32042],80,2026-09-22 15:00:00,2026-09-28 16:00:00,UMC400_(M5-06),3900.0,7363.0,80,[4022.684.32042] RH RED DYNAMIC STRAIN RELIEF B ,2026-10-20 02:00:00,TBRM /MO/02216
[4022.704.19302],124,2026-10-01 08:00:00,2026-10-05 20:30:00,UMC400_(M5-06),2664.0,6974.0,124,[4022.704.19302] RH RED STATIC STRAIN RELIEF A,2026-10-06 02:00:00,TBRM /MO/02217
[4022.622.61092],68,2026-10-06 08:00:00,2026-10-07 15:40:00,UMC400_(M5-06),1420.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
