PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[7001-2580-0020],18,2026-09-15 08:00:00,2026-09-15 09:50:00,VF2SS_(M3-03),104.0,17770.0,18,[7001-2580-0020] Monitor Support 2 / FM / FM-02-045-B,2026-09-02 02:00:00,TBRM /MO/02219
[7001-2580-0033],10,2026-09-15 10:40:00,2026-09-15 14:00:00,VF2SS_(M3-03),200.0,17783.0,10,[7001-2580-0033] Detector Mount / FM / FM-02-044-B,2026-09-02 02:00:00,TBRM /MO/02226
[7001-2580-0019],18,2026-09-15 19:00:00,2026-09-15 21:00:00,VF2SS_(M3-03),111.0,17769.0,18,[7001-2580-0019] Monitor Support / FM / FM-02-046-B,2026-09-02 02:00:00,TBRM /MO/02220
[7001-2580-0017],12,2026-09-15 21:10:00,2026-09-15 22:50:00,VF2SS_(M3-03),94.0,17767.0,12,[7001-2580-0017] Pusher / FM / FM-02-011-B,2026-09-02 02:00:00,TBRM /MO/02221
[7001-2580-0045],20,2026-09-16 10:00:00,2026-09-16 14:10:00,VF2SS_(M3-03),248.0,18722.0,20,[7001-2580-0045] ST Spring Housing / FM / FM2010-M00011 Rev. D,2026-08-10 02:00:00,TBRM /MO/01868
[7001-2580-0037],9,2026-09-16 14:20:00,2026-09-16 20:30:00,VF2SS_(M3-03),366.0,17787.0,9,[7001-2580-0037] SA Lens Mount / FM / FM-02-020-B,2026-09-02 02:00:00,TBRM /MO/02224
[7001-2580-0022],3,2026-09-16 20:40:00,2026-09-16 23:10:00,VF2SS_(M3-03),148.0,17772.0,3,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-03-15 12:00:00,TBRM /MO/02438
[7001-2580-0022],9,2026-09-17 08:00:00,2026-09-17 13:30:00,VF2SS_(M3-03),324.0,17772.0,9,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2026-09-02 02:00:00,TBRM /MO/02218
[7001-2580-0037],3,2026-09-17 13:40:00,2026-09-17 16:30:00,VF2SS_(M3-03),162.0,17787.0,3,[7001-2580-0037] SA Lens Mount / FM / FM-02-020-B,2027-03-15 12:00:00,TBRM /MO/02439
[4022.666.20971-TBRM MCH],500,2026-09-18 08:00:00,2026-09-18 17:20:00,VF2SS_(M3-03),560.0,13691.0,500,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-09-14 02:00:00,TBRM /MO/02255-002
[4022-659-99111],30,2026-09-18 17:30:00,2026-09-21 12:30:00,VF2SS_(M3-03),660.0,14982.0,30,[4022-659-99111] YS ML Park Block Handle,2026-09-17 02:00:00,TBRM /MO/02378
[4022-659-99111],30,2026-09-21 12:40:00,2026-09-21 23:40:00,VF2SS_(M3-03),660.0,14982.0,30,[4022-659-99111] YS ML Park Block Handle,2026-09-17 02:00:00,TBRM /MO/02378
[7005-2580-0015],5,2026-09-21 23:50:00,2026-09-22 21:00:00,VF2SS_(M3-03),785.0,17993.0,5,[7005-2580-0015] Baseplate V01-00 / NFI / 27244702,2026-10-05 02:00:00,TBRM /MO/02368
[4022.622.61092],68,2026-09-22 21:20:00,2026-09-25 10:40:00,VF2SS_(M3-03),2236.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
