PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022.645.57761],20,2026-09-22 08:00:00,2026-09-22 08:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19387.0,20,[4022.645.57761] RH NXE RBI COVER HOUSING,2026-07-29 02:00:00,TBRM /MO/01734-003
[4022.737.00811/AA],3,2026-09-22 08:20:00,2026-09-22 08:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,18794.0,3,[4022.737.00811/AA] EXE VS YNOZ DUCT GR1 COVER,2026-08-13 12:38:53,TBRM /MO/02372
[4022-451-22801B],14,2026-09-22 08:50:00,2026-09-22 09:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),29.0,15540.0,14,[4022-451-22801B] RS Lock MF-X Preload Housing,2026-09-15 02:00:00,TBRM /MO/02302
[P03422],5,2026-09-22 09:30:00,2026-09-22 09:50:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20052.0,5,[P03422] Frameplate T6 gearbox 40mm flange / VDM / P03422,2026-09-28 08:00:00,TBRM /MO/02431
[7005-2580-0003],9,2026-09-22 10:10:00,2026-09-22 10:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),24.0,16255.0,9,[7005-2580-0003] Stroke Limiter Plate RX-R V02-02-B / 26223908,2026-09-28 10:42:31,TBRM /MO/02434
[4022-656-92231],126,2026-09-22 10:40:00,2026-09-22 13:10:00,MP1 - Material preparation - automatic sawing (ZGN_01),141.0,14980.0,126,[4022-656-92231] Exhaust fw bridge 1980,2026-10-06 02:00:00,TBRM /MO/02362
[7005-2580-0017],18,2026-09-22 13:30:00,2026-09-22 14:10:00,MP1 - Material preparation - automatic sawing (ZGN_01),33.0,18142.0,18,[7005-2580-0017] GP Z-Adjustment Lever V02-01 / 26241001,2026-10-15 02:00:00,TBRM /MO/02366
[7005-2580-0004],9,2026-09-22 14:30:00,2026-09-22 15:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),24.0,16256.0,9,[7005-2580-0004] Stroke Limiter Plate RX-L V02-02-A / 26223907,2026-09-28 10:44:59,TBRM /MO/02435
[P03421A],2,2026-09-22 15:20:00,2026-09-22 15:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20051.0,2,[P03421A] Cap Motor Housing M3 / VDM / P03421A,2026-09-28 08:00:00,TBRM /MO/02430
[7005-2580-0002],9,2026-09-22 16:00:00,2026-09-22 16:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,16254.0,9,[7005-2580-0002] Stroke Limiter Plate ZY-R V01-02-B / 26223909,2026-09-28 10:40:52,TBRM /MO/02433
[P183614A],12,2026-09-22 16:30:00,2026-09-22 16:50:00,MP1 - Material preparation - automatic sawing (ZGN_01),17.0,19338.0,12,[P183614A] IQS PCBA MOUNT,2026-10-23 02:00:00,TBRM /MO/02443
[7001-2680-0002],6,2026-09-22 16:50:00,2026-09-22 17:10:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19969.0,6,[7001-2680-0002] PFS Edge Exclusion Block / FM / FM1022-M00042-A,2026-10-14 19:00:00,TBRM /MO/02411
[FM1022-M00047-A],6,2026-09-22 17:10:00,2026-09-22 17:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20005.0,6,[FM1022-M00047-A] PFS Camera Block   / FM,2026-10-14 19:00:00,TBRM /MO/02421
[4022.632.63021],1600,2026-09-22 17:30:00,2026-09-22 18:10:00,MP1 - Material preparation - automatic sawing (ZGN_01),39.0,7034.0,1600,[4022.632.63021] WTP LOCKING NUT,2026-10-05 02:00:00,TBRM /MO/02354
[FM1022-M00001-A],6,2026-09-22 18:10:00,2026-09-22 18:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19975.0,6,[FM1022-M00001-A] PFS Top Plate / FM,2026-10-14 19:00:00,TBRM /MO/02412
[FM1022-M00053-A],6,2026-09-22 19:00:00,2026-09-22 19:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20009.0,6,[FM1022-M00053-A] PFS Wafer Holder Body Ambient  / FM,2026-10-14 19:00:00,TBRM /MO/02425
[FM1022-M00003-A],6,2026-09-22 19:50:00,2026-09-22 20:10:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19986.0,6,[FM1022-M00003-A] PFS Side Plate CS / FM,2026-10-14 19:00:00,TBRM /MO/02414
[FM1022-M00017-A],6,2026-09-22 20:40:00,2026-09-22 21:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20000.0,6,[FM1022-M00017-A] PFS Fixed mirror Holder LS / FM,2026-10-14 19:00:00,TBRM /MO/02418
[FM1022-M00026-B],6,2026-09-22 21:30:00,2026-09-22 21:50:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19997.0,6,[FM1022-M00026-B] 2.1 Tilting Mirror Block / FM,2026-10-14 19:00:00,TBRM /MO/02416
[FM1022-C00003-A],6,2026-09-22 22:20:00,2026-09-22 22:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20008.0,6,[FM1022-C00003-A] PFS Add holes HS  / FM,2026-10-14 19:00:00,TBRM /MO/02424
[FM1022-M00021-A],6,2026-09-22 23:10:00,2026-09-22 23:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20004.0,6,[FM1022-M00021-A] PFS Upper Mirror Holder LS  / FM,2026-10-14 19:00:00,TBRM /MO/02420
[FM1022-M00006-B],6,2026-09-23 08:00:00,2026-09-23 08:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20006.0,6,[FM1022-M00006-B] PFS Lens Housing / FM,2026-10-14 19:00:00,TBRM /MO/02422
[FM1022-M00004-A],6,2026-09-23 08:40:00,2026-09-23 09:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19987.0,6,[FM1022-M00004-A] PFS Side Plate LS / FM,2026-10-14 19:00:00,TBRM /MO/02415
[FM1022-M00054-A],6,2026-09-23 09:20:00,2026-09-23 09:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20010.0,6,[FM1022-M00054-A] PFS Spring Limiter POM / FM,2026-10-14 19:00:00,TBRM /MO/02426
[FM0001-M00006-B],6,2026-09-23 10:00:00,2026-09-23 10:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20011.0,6,[FM0001-M00006-B] GEB Baseplate / FM,2026-10-14 19:00:00,TBRM /MO/02427
[FM1022-M00002-A],6,2026-09-23 10:40:00,2026-09-23 11:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19983.0,6,[FM1022-M00002-A] PFS Bottom Plate / FM,2026-10-14 19:00:00,TBRM /MO/02413
[FM1022-M00020-A],6,2026-09-23 11:20:00,2026-09-23 11:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20003.0,6,[FM1022-M00020-A] PFS Upper Mirror Holder CS  / FM,2026-10-14 19:00:00,TBRM /MO/02419
[FM1022-M00014-A],6,2026-09-23 12:00:00,2026-09-23 12:20:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19999.0,6,[FM1022-M00014-A] Tilting mirror mount / FM,2026-10-14 19:00:00,TBRM /MO/02417
[FM1022-M00031-A],6,2026-09-23 12:40:00,2026-09-23 13:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20007.0,6,[FM1022-M00031-A] PFS LED Insulator / FM,2026-10-14 19:00:00,TBRM /MO/02423
[7005-2600-0025],2,2026-09-23 13:10:00,2026-09-23 13:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20135.0,2,[7005-2600-0025] MAFM holder for realignment / NFI / N24224801V05-00,2027-03-08 12:00:00,TBRM /MO/02442
[7001-2680-0001],20,2026-09-23 13:30:00,2026-09-23 13:50:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,19958.0,20,[7001-2680-0001] SOT Holder Plate / FM / FM2010-M00052-A,2027-02-21 12:00:00,TBRM /MO/02381
[7005-2600-0024],100,2026-09-23 13:50:00,2026-09-23 14:10:00,MP1 - Material preparation - automatic sawing (ZGN_01),15.0,20134.0,100,[7005-2600-0024] MAFM excluding PUT Carrier / NFI / N65262802V01-00,2027-03-08 12:00:00,TBRM /MO/02441
[7005-2580-0001],9,2026-09-23 14:30:00,2026-09-23 15:00:00,MP1 - Material preparation - automatic sawing (ZGN_01),24.0,16253.0,9,[7005-2580-0001] Stroke Limiter Plate ZY-L V01-02-B / 26223910,2027-03-02 10:33:21,TBRM /MO/02432
[7001-2580-0020],6,2026-09-23 15:10:00,2026-09-23 15:30:00,MP1 - Material preparation - automatic sawing (ZGN_01),16.0,17770.0,6,[7001-2580-0020] Monitor Support 2 / FM / FM-02-045-B,2027-03-15 12:00:00,TBRM /MO/02440
[7001-2580-0022],3,2026-09-23 15:30:00,2026-09-23 15:50:00,MP1 - Material preparation - automatic sawing (ZGN_01),16.0,17772.0,3,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-03-15 12:00:00,TBRM /MO/02438
[4022-451-22801B],16,2026-09-23 18:00:00,2026-09-23 18:40:00,MP1 - Material preparation - automatic sawing (ZGN_01),31.0,15540.0,16,[4022-451-22801B] RS Lock MF-X Preload Housing,2026-11-06 01:00:00,TBRM /MO/02380
