PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022-455-09997-3],40,2026-09-07 08:00:00,2026-09-07 13:30:00,UMC750_(M5-03),330.0,14931.0,40,[4022-455-09997-3] post 7,2026-08-18 02:00:00,TBRM /MO/01807
[7001-2580-0036],10,2026-09-07 13:40:00,2026-09-07 19:00:00,UMC750_(M5-03),320.0,17786.0,10,[7001-2580-0036] LS Actuator Arm / FM / FM-02-029-B,2026-09-02 02:00:00,TBRM /MO/01972
[7001-2580-0019],18,2026-09-07 19:10:00,2026-09-07 21:10:00,UMC750_(M5-03),111.0,17769.0,18,[7001-2580-0019] Monitor Support / FM / FM-02-046-B,2027-02-08 12:00:00,TBRM /MO/02220
[7001-2580-0020],18,2026-09-07 19:20:00,2026-09-07 21:10:00,UMC750_(M5-03),104.0,17770.0,18,[7001-2580-0020] Monitor Support 2 / FM / FM-02-045-B,2027-02-08 12:00:00,TBRM /MO/02219
[7001-2580-0029],20,2026-09-07 21:20:00,2026-09-08 21:40:00,UMC750_(M5-03),980.0,17779.0,20,[7001-2580-0029] Mirror Holder / FM / FM-02-033-B,2026-09-02 02:00:00,TBRM /MO/01957
[7001-2580-0031],10,2026-09-08 21:50:00,2026-09-09 21:00:00,UMC750_(M5-03),910.0,17781.0,10,[7001-2580-0031] Lens Mechanism 2 / FM / FM-02-004-B,2026-09-02 02:00:00,TBRM /MO/01959
[7001-2580-0005],20,2026-09-09 21:20:00,2026-09-10 23:40:00,UMC750_(M5-03),1100.0,17693.0,20,[7001-2580-0005] MT Center Body / FM / FM2010-M00019 Rev. C,2026-08-10 02:00:00,TBRM /MO/01848
[7001-2580-0018],60,2026-09-10 23:50:00,2026-09-11 23:50:00,UMC750_(M5-03),960.0,17768.0,60,[7001-2580-0018] Mountblock / FM / FM-02-013-B,2026-09-02 02:00:00,TBRM /MO/01997
[7005-2580-0007],8,2026-09-14 08:00:00,2026-09-14 13:30:00,UMC750_(M5-03),324.0,16269.0,8,[7005-2580-0007] Support block  / 07201506 v02-00 - Drawing in RED,2026-09-28 02:00:00,TBRM /MO/02215
[7001-2580-0022],9,2026-09-14 13:40:00,2026-09-14 19:10:00,UMC750_(M5-03),324.0,17772.0,9,[7001-2580-0022] HOLDER CREDIT CARD / FM / FM-02-007-C,2027-02-08 12:00:00,TBRM /MO/02218
[7001-2580-0032],10,2026-09-14 19:20:00,2026-09-14 23:30:00,UMC750_(M5-03),250.0,17782.0,10,[7001-2580-0032] Lens Support / FM / FM-02-042-B,2027-02-08 12:00:00,TBRM /MO/02227
[4022.704.19302],124,2026-09-15 08:00:00,2026-09-17 20:30:00,UMC750_(M5-03),2664.0,6974.0,124,[4022.704.19302] RH RED STATIC STRAIN RELIEF A,2026-10-06 02:00:00,TBRM /MO/02217
[4022.622.61092],68,2026-09-17 20:40:00,2026-09-21 12:20:00,UMC750_(M5-03),1420.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
[4022.695.89671],10,2026-09-21 12:30:00,2026-09-22 18:30:00,UMC750_(M5-03),1320.0,19365.0,10,[4022.695.89671] MBI WS MK2 AORTA DC BRACE IF,2027-02-08 12:00:00,TBRM /MO/02244
[7001-2580-0044],20,2026-09-23 16:00:00,2026-09-23 22:20:00,UMC750_(M5-03),379.67,18721.0,20,[7001-2580-0044] ST Clamping Axle / FM / FM2010-M00009 Rev. D,2026-08-10 02:00:00,TBRM /MO/01864
[4022.622.61092],68,2026-09-23 22:40:00,2026-09-28 12:00:00,UMC750_(M5-03),2236.0,7366.0,68,[4022.622.61092] RH RED GRIPPER CABLE COVER ,2026-11-02 01:00:00,TBRM /MO/01756
[7001-2580-0033],10,2026-10-01 08:00:00,2026-10-01 11:20:00,UMC750_(M5-03),200.0,17783.0,10,[7001-2580-0033] Detector Mount / FM / FM-02-044-B,2027-02-08 12:00:00,TBRM /MO/02226
[7001-2580-0042],20,2026-10-01 16:00:00,2026-10-01 19:30:00,UMC750_(M5-03),203.67,18719.0,20,[7001-2580-0042] MT Clamp Axle / FM / FM2010-M00005 Rev. E,2026-08-10 02:00:00,TBRM /MO/01853
[7001-2580-0007],20,2026-10-06 16:00:00,2026-10-06 18:20:00,UMC750_(M5-03),136.0,17701.0,20,[7001-2580-0007] ST Interface plate / FM / FM210-M00008 Rev. D,2026-08-10 02:00:00,TBRM /MO/01872
[4022.666.20971-TBRM MCH],500,2026-10-06 18:30:00,2026-10-22 20:50:00,UMC750_(M5-03),11660.0,13691.0,500,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-11-10 01:00:00,TBRM /MO/02355
