PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration,Product/ID,Quantity,Product,Deadline,Reference
[4022.666.20971-TBRM MCH],360,2026-09-03 08:00:00,2026-09-11 04:20:00,UMC750SS_(M5-04),8412.0,13691.0,360,[4022.666.20971-TBRM MCH] WTP IM MK6 BRACKET RING,2026-07-15 02:00:00,TBRM /MO/01786-003
[7001-2580-0043],20,2026-09-11 08:00:00,2026-09-11 12:10:00,UMC750SS_(M5-04),250.0,18720.0,20,[7001-2580-0043] MT Carrier Disc / FM / FM2010-M00020  Rev. C,2026-08-10 02:00:00,TBRM /MO/01863
[7001-2580-0043],20,2026-09-11 12:20:00,2026-09-11 17:10:00,UMC750SS_(M5-04),290.0,18720.0,20,[7001-2580-0043] MT Carrier Disc / FM / FM2010-M00020  Rev. C,2026-08-10 02:00:00,TBRM /MO/01863
[4022.704.19302],124,2026-09-11 17:20:00,2026-09-15 13:50:00,UMC750SS_(M5-04),2664.0,6974.0,124,[4022.704.19302] RH RED STATIC STRAIN RELIEF A,2026-10-06 02:00:00,TBRM /MO/02217
[4022.684.32042],80,2026-09-15 14:00:00,2026-09-18 07:00:00,UMC750SS_(M5-04),3900.0,7363.0,80,[4022.684.32042] RH RED DYNAMIC STRAIN RELIEF B ,2026-10-20 02:00:00,TBRM /MO/02216
[4022.695.89671],10,2026-09-18 08:00:00,2026-09-21 06:00:00,UMC750SS_(M5-04),1320.0,19365.0,10,[4022.695.89671] MBI WS MK2 AORTA DC BRACE IF,2027-02-08 12:00:00,TBRM /MO/02244
[4022.704.19282],56,2026-09-21 08:00:00,2026-10-16 01:00:00,UMC750SS_(M5-04),26940.0,14210.0,56,[4022.704.19282] RH RED GRIPPER BODY,2026-08-25 02:00:00,TBRM /MO/01644-002
[4022.704.19282],56,2026-10-16 08:00:00,2026-10-20 17:00:00,UMC750SS_(M5-04),3420.0,14210.0,56,[4022.704.19282] RH RED GRIPPER BODY,2026-08-25 02:00:00,TBRM /MO/01644-002
