Machine,ProcessTime,AvailableTime,Utilization
BW_(BKW_01),1620.0,28800,0.05625
PACK_(VERP_P),1016.0,28800,0.035277777777777776
M3-01_(FR3_01),2634.0,28800,0.09145833333333334
M4-02_(FR4_02),370.0,43200,0.008564814814814815
UMC750_(M5-03),660.0,28800,0.022916666666666665
M3-02_(FR3_02),1490.0,28800,0.05173611111111111
M5-02_(FR5_02),1896.0,43200,0.04388888888888889
M4-01_(FR4_01),5018.0,43200,0.1161574074074074
OUT - Outsourced activity_(OUT - Outsourced),29250.0,14400,2.03125
