JobID,Quantity,Deadline,OrderID,ProductID,OperationID,ResourceID,SchDaySt,SchShiftSt,SchTimeSt,SchDayCp,SchShiftCp,SchTimeCp,ActDaySt,ActShiftSt,ActTimeSt,ActDayCp,ActShiftCp,ActTimeCp
5,301.0,2025-08-20,118,361,845,9,2025-08-18,1,9.0,2025-08-18,1,14.016666666666648,,NULL,NULL,NULL,NULL,NULL
6,301.0,2025-08-20,118,361,844,8,2025-08-18,1,14.016666666666648,2025-08-18,2,19.033333333333296,,NULL,NULL,NULL,NULL,NULL
7,301.0,2025-08-20,118,361,843,7,2025-08-18,2,19.033333333333296,2025-08-18,2,19.033333333333296,,NULL,NULL,NULL,NULL,NULL
8,301.0,2025-08-20,118,361,842,18,2025-08-18,2,19.033333333333296,2025-08-18,2,24.049999999999944,,NULL,NULL,NULL,NULL,NULL
9,1.0,2025-08-19,120,419,898,14,2025-08-18,1,9.0,2025-08-18,1,9.3,,NULL,NULL,NULL,NULL,NULL
10,1.0,2025-08-19,120,419,898,4,2025-08-18,2,19.75,2025-08-18,2,20.05,,NULL,NULL,NULL,NULL,NULL
11,1.0,2025-08-19,120,419,898,14,2025-08-19,1,38.800000000000004,2025-08-19,1,39.1,,NULL,NULL,NULL,NULL,NULL
12,1.0,2025-08-19,120,419,897,11,2025-08-19,1,39.1,2025-08-19,1,39.11666666666667,,NULL,NULL,NULL,NULL,NULL
16,1.0,2025-08-21,121,381,867,5,2025-08-18,1,9.0,2025-08-19,1,33.3,,NULL,NULL,NULL,NULL,NULL
17,1.0,2025-08-21,121,381,867,14,2025-08-19,1,33.3,2025-08-20,1,57.599999999999994,,NULL,NULL,NULL,NULL,NULL
18,1.0,2025-08-21,121,381,867,14,2025-08-20,1,57.599999999999994,2025-08-21,1,81.89999999999999,,NULL,NULL,NULL,NULL,NULL
19,1.0,2025-08-19,123,375,859,24,2025-08-18,1,9.0,2025-08-18,1,12.133333333333333,,NULL,NULL,NULL,NULL,NULL
20,1.0,2025-08-19,123,375,858,18,2025-08-18,1,12.133333333333333,2025-08-18,1,12.149999999999999,,NULL,NULL,NULL,NULL,NULL
24,1.0,2025-08-20,124,383,869,4,2025-08-18,1,9.0,2025-08-18,2,18.9,,NULL,NULL,NULL,NULL,NULL
25,1.0,2025-08-20,124,383,869,4,2025-08-18,2,20.05,2025-08-19,1,37.95,,NULL,NULL,NULL,NULL,NULL
26,1.0,2025-08-20,124,383,869,4,2025-08-19,1,38.800000000000004,2025-08-19,2,48.7,,NULL,NULL,NULL,NULL,NULL
27,6.0,2025-08-19,65,468,962,14,2025-08-18,1,9.3,2025-08-18,1,11.700000000000001,,NULL,NULL,NULL,NULL,NULL
28,6.0,2025-08-19,65,468,962,14,2025-08-18,2,20.050000000000004,2025-08-18,2,22.450000000000003,,NULL,NULL,NULL,NULL,NULL
29,6.0,2025-08-19,65,468,962,5,2025-08-19,2,47.3,2025-08-20,1,57.699999999999996,,NULL,NULL,NULL,NULL,NULL
30,6.0,2025-08-19,65,468,961,11,2025-08-20,1,57.699999999999996,2025-08-20,1,57.8,,NULL,NULL,NULL,NULL,NULL
31,2.0,2025-08-19,66,461,953,14,2025-08-18,1,11.700000000000001,2025-08-18,1,12.066666666666668,,NULL,NULL,NULL,NULL,NULL
32,2.0,2025-08-19,66,461,953,14,2025-08-18,2,22.450000000000003,2025-08-18,2,22.81666666666667,,NULL,NULL,NULL,NULL,NULL
33,2.0,2025-08-19,66,461,953,14,2025-08-19,1,39.1,2025-08-19,1,39.46666666666667,,NULL,NULL,NULL,NULL,NULL
34,2.0,2025-08-19,66,461,952,11,2025-08-19,1,39.99999999999999,2025-08-19,2,41.99999999999999,,NULL,NULL,NULL,NULL,NULL
39,14.0,2025-08-25,67,463,956,24,2025-08-18,1,12.133333333333333,2025-08-18,2,17.733333333333334,,NULL,NULL,NULL,NULL,NULL
40,14.0,2025-08-25,67,463,955,5,2025-08-19,1,33.3,2025-08-19,2,47.3,,NULL,NULL,NULL,NULL,NULL
41,14.0,2025-08-25,67,463,955,4,2025-08-19,2,48.7,2025-08-20,2,70.7,,NULL,NULL,NULL,NULL,NULL
42,14.0,2025-08-25,67,463,955,5,2025-08-20,2,70.7,2025-08-21,2,92.7,,NULL,NULL,NULL,NULL,NULL
43,14.0,2025-08-25,67,463,954,11,2025-08-21,2,92.7,2025-08-21,2,92.93333333333334,,NULL,NULL,NULL,NULL,NULL
44,12.0,2025-08-20,68,465,958,24,2025-08-18,2,17.733333333333334,2025-08-19,1,39.13333333333333,,NULL,NULL,NULL,NULL,NULL
45,12.0,2025-08-20,68,465,957,11,2025-08-19,1,39.13333333333333,2025-08-19,1,39.33333333333333,,NULL,NULL,NULL,NULL,NULL
46,4.0,2025-08-19,69,467,960,24,2025-08-19,1,39.13333333333333,2025-08-19,1,39.93333333333333,,NULL,NULL,NULL,NULL,NULL
47,4.0,2025-08-19,69,467,959,11,2025-08-19,1,39.93333333333333,2025-08-19,1,39.99999999999999,,NULL,NULL,NULL,NULL,NULL
48,6.0,2025-08-19,86,426,902,14,2025-08-18,1,12.066666666666668,2025-08-18,1,15.26666666666667,,NULL,NULL,NULL,NULL,NULL
49,6.0,2025-08-19,86,426,902,14,2025-08-18,2,22.81666666666667,2025-08-19,1,34.01666666666667,,NULL,NULL,NULL,NULL,NULL
50,6.0,2025-08-19,86,426,902,5,2025-08-20,1,57.699999999999996,2025-08-20,1,60.9,,NULL,NULL,NULL,NULL,NULL
51,6.0,2025-08-19,86,426,901,11,2025-08-20,1,60.9,2025-08-20,1,61.0,,NULL,NULL,NULL,NULL,NULL
52,2.0,2025-08-19,88,428,904,14,2025-08-18,1,15.26666666666667,2025-08-18,1,16.233333333333334,,NULL,NULL,NULL,NULL,NULL
53,2.0,2025-08-19,88,428,904,14,2025-08-19,1,34.01666666666667,2025-08-19,1,34.98333333333334,,NULL,NULL,NULL,NULL,NULL
54,2.0,2025-08-19,88,428,904,14,2025-08-19,1,39.46666666666667,2025-08-19,1,40.43333333333334,,NULL,NULL,NULL,NULL,NULL
55,2.0,2025-08-19,88,428,903,11,2025-08-19,2,41.99999999999999,2025-08-19,2,42.033333333333324,,NULL,NULL,NULL,NULL,NULL
56,2.0,2025-08-19,89,429,906,14,2025-08-18,1,16.233333333333334,2025-08-18,2,17.1,,NULL,NULL,NULL,NULL,NULL
57,2.0,2025-08-19,89,429,906,14,2025-08-19,1,34.98333333333334,2025-08-19,1,35.85000000000001,,NULL,NULL,NULL,NULL,NULL
58,2.0,2025-08-19,89,429,906,5,2025-08-20,1,60.9,2025-08-20,1,61.766666666666666,,NULL,NULL,NULL,NULL,NULL
59,2.0,2025-08-19,89,429,905,11,2025-08-20,1,61.766666666666666,2025-08-20,1,61.8,,NULL,NULL,NULL,NULL,NULL
60,4.0,2025-08-19,90,431,908,24,2025-08-19,1,39.93333333333333,2025-08-19,2,47.93333333333333,,NULL,NULL,NULL,NULL,NULL
61,4.0,2025-08-19,90,431,907,11,2025-08-19,2,47.93333333333333,2025-08-19,2,47.99999999999999,,NULL,NULL,NULL,NULL,NULL
62,1.0,2025-08-19,91,433,911,14,2025-08-18,2,17.1,2025-08-18,2,18.01666666666667,,NULL,NULL,NULL,NULL,NULL
63,1.0,2025-08-19,91,433,911,14,2025-08-19,1,35.85000000000001,2025-08-19,1,36.76666666666667,,NULL,NULL,NULL,NULL,NULL
64,1.0,2025-08-19,91,433,911,5,2025-08-20,1,61.766666666666666,2025-08-20,1,62.68333333333333,,NULL,NULL,NULL,NULL,NULL
65,1.0,2025-08-19,91,433,910,24,2025-08-20,2,65.4,2025-08-20,2,65.98333333333333,,NULL,NULL,NULL,NULL,NULL
66,1.0,2025-08-19,91,433,909,18,2025-08-20,2,65.98333333333333,2025-08-20,2,66.98333333333333,,NULL,NULL,NULL,NULL,NULL
67,2.0,2025-08-19,92,435,913,24,2025-08-19,2,47.93333333333333,2025-08-20,1,57.46666666666666,,NULL,NULL,NULL,NULL,NULL
68,2.0,2025-08-19,92,435,912,11,2025-08-20,1,57.46666666666666,2025-08-20,1,57.49999999999999,,NULL,NULL,NULL,NULL,NULL
69,2.0,2025-08-19,93,437,915,14,2025-08-18,2,18.01666666666667,2025-08-18,2,20.050000000000004,,NULL,NULL,NULL,NULL,NULL
70,2.0,2025-08-19,93,437,915,14,2025-08-19,1,36.76666666666667,2025-08-19,1,38.800000000000004,,NULL,NULL,NULL,NULL,NULL
71,2.0,2025-08-19,93,437,915,5,2025-08-20,1,62.68333333333333,2025-08-20,1,64.71666666666667,,NULL,NULL,NULL,NULL,NULL
