ProductID,ProductNumber,Name,StockLevel,PrescribedBatchsize,ChosenBatchsize
75,5601-0000-0116,[5601-0000-0116]  ALU 6082 T6 vk 80,0.0,,
76,4022-333-11506,[4022-333-11506]  lagerblok,0.0,100,
77,5602-0000-0041,[5602-0000-0041]  RVS 430F blank rond 50h9,0.0,142,
78,4022-333-13805,[4022-333-13805]  dr pnt cilinder,0.0,75,
79,5603-0000-0014,[5603-0000-0014]  STAAL 11SMn30+C/9SMn28K blank vk 50,0.0,75,
80,4022-333-19505,[4022-333-19505]  BRIL,0.0,100,100
81,5990-0000-0014,[5990-0000-0014]  EPRATEX PF CC201 180x140x10,0.0,100,
82,4022-333-40501,[4022-333-40501]  DUMMY KRISTAL,0.0,,
83,5601-0000-0108,[5601-0000-0108]  ALU 6060 T66 plat 40x6,0.0,,
84,4022-333-58172,[4022-333-58172]  KIJKERHOUDER,0.0,,
85,5601-0000-0009,[5601-0000-0009]  ALU 6082 T6 vk 50,4000.0,15,
86,4022-333-58791,[4022-333-58791]  Filterhouder Cu 0.1,0.0,128,
87,4022-335-17991,[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.0,128,
88,4022-335-71012,[4022-335-71012]  filter holder,0.0,,
89,5604-0000-0004,[5604-0000-0004]  MESSING CuZn40Pb2 plat 20x10,6000.0,,
90,4022-337-30992,[4022-337-30992]  HOLDER FOR SHUTTER,0.0,,
91,5602-0000-0040,[5602-0000-0040]  RVS 430F blank rond 16h9,0.0,,
92,4022-337-33842,[4022-337-33842]  arret holder,0.0,142,
93,4022-454-25012,[4022-454-25012]  RING,0.0,40,
94,5601-0000-0019,[5601-0000-0019]  ALU 6082 gzgd plaat 400x400x20,0.0,40,
95,4022-455-01702,[4022-455-01702]  Sensorblock,0.0,,10
96,5601-0000-0109,[5601-0000-0109]  ALU 6082 T651 (wgw) gzgd plaat 125x30x84,0.0,,
97,4022-455-09992,[4022-455-09992]  POST 2,0.0,30,30
98,5602-0000-0003,[5602-0000-0003]  RVS 304/304L wgw plat 40x30,4760.0,30,
99,4022-455-099943,[4022-455-099943]  post 4,0.0,,
100,4022-455-099953,[4022-455-099953]  post 5,0.0,,
101,4022-455-09997-3,[4022-455-09997-3]  post 7,0.0,,10
102,4022-456-08803,[4022-456-08803]  LENSGAS INTERFACE BLOCK,0.0,,
103,4022-470-85441,[4022-470-85441]  1/2TE Compens Guide 160mm,0.0,,
104,5601-0000-0016,[5601-0000-0016]  ALU 6082 T6 plat 25x15,6000.0,,
105,4022-481-55761,[4022-481-55761]  Temp Sensor Block,0.0,,
106,4022-481-65971/20,[4022-481-65971/20]  UPPER CABLE CLAMP,0.0,,
107,4022-484-40911,[4022-484-40911]  Al fcp anti loss screw plate,0.0,,
108,4022-484-40921,[4022-484-40921]  Al fcp switch holder,0.0,,
109,5601-0000-0113,[5601-0000-0113]  ALU 6082 T6 plat 50x25,0.0,,
110,4022-486-33041,[4022-486-33041]  Connector Block,0.0,,
111,5602-0000-0025,[5602-0000-0025]  RVS 316L wgw plat 40x15,4840.0,100,
112,4022-486-73851/40,[4022-486-73851/40]  Cable Clamp Base (M5),0.0,,
113,4022-510-76650P19,[4022-510-76650P19]  Block POS. 19,0.0,,
114,5603-0000-0023,[5603-0000-0023]  STAAL S355J2G3 wgw vk 90,0.0,,
115,4022-621-9185,[4022-621-9185]  Ynozzle Ducting V2 Cover,0.0,,
116,4022-630-67632,[4022-630-67632]  HINGE BLOCK BACK,0.0,,
117,4022-631-2166-Pos4,[4022-631-2166-Pos4]  Pos 4,0.0,,
118,5603-0000-0017,[5603-0000-0017]  STAAL s235jr wgw plat 100x30,0.0,,
119,4022-631-42881,[4022-631-42881]  Interface y-equilizer 2,0.0,,
120,5602-0000-0011,[5602-0000-0011]  RVS 304/304L wgw vk 50,6604.0,179,
121,4022-631-47801,[4022-631-47801]  Interface (FIXED),0.0,25,25
122,5602-0000-0038,[5602-0000-0038]  RVS 304/304L wgw plat 50x40,0.0,25,
123,4022-631-54801,[4022-631-54801]  INTERFACE (ADJUSTABLE),0.0,43,43
124,5602-0000-0015,[5602-0000-0015]  RVS 304/304L wgw plat 80x30,6000.0,43,
125,4022-631-75141,[4022-631-75141]  Hinge block back lm2,0.0,94,
126,5602-0000-0018,[5602-0000-0018]  RVS 304/304L wgw plat 50x20,0.0,94,
127,4022-631-80291,[4022-631-80291]  Hinge block LR,0.0,108,
128,5602-0000-0005,[5602-0000-0005]  RVS 304/304L wgw plat 70x30,5614.0,16,
129,4022-631-80301,[4022-631-80301]  Hinge Block LR2 (fixed),0.0,108,108
130,4022-631-80961,[4022-631-80961]  Hinge block (fixed) rm2,0.0,,
131,4022-631-89301,[4022-631-89301]  Hinge Block LM2,0.0,,53
