OperationID,Name,ProcessTime
152,Milling _ BRIL,0
153,BW - Benchwork _ BRIL,0
154,Packaging _ BRIL,0
155,Material prep _ DUMMY KRISTAL,0
156,Milling _ DUMMY KRISTAL,0
157,BW - Benchwork _ DUMMY KRISTAL,0
158,Packaging _ DUMMY KRISTAL,0
159,Material prep _ KIJKERHOUDER,0
160,Milling _ KIJKERHOUDER,0
161,BW - Benchwork _ KIJKERHOUDER,0
162,Anodisin_ KIJKERHOUDER,0
163,Packaging _ KIJKERHOUDER,0
164,Material prep _ Filterhouder Cu 0.1,0
165,Milling _ Filterhouder Cu 0.1,0
166,BW - Benchwork _ Filterhouder Cu 0.1,0
167,Packaging _ Filterhouder Cu 0.1,0
168,Material prep _ Filterh. Cu0.2 Ni0.02,0
169,Milling _ Filterh. Cu0.2 Ni0.02,0
170,BW - Benchwork _ Filterh. Cu0.2 Ni0.02,0
171,Packaging _ Filterh. Cu0.2 Ni0.02,0
172,Material prep _ filter holder,0
173,Milling _ filter holder,0
174,BW - Benchwork _ filter holder,0
175,Packaging _ filter holder,0
176,Material prep _ HOLDER FOR SHUTTER,0
177,Milling _ HOLDER FOR SHUTTER,0
178,BW - Benchwork _ HOLDER FOR SHUTTER,0
179,Packaging _ HOLDER FOR SHUTTER,0
180,Material prep _ arret holder,0
181,Milling _ arret holder,0
182,BW - Benchwork _ arret holder,0
183,Packaging _ arret holder,0
184,Picking _ RING,0
185,Milling _ RING,0
186,BW - Benchwork _ RING,0
187,Nickel platin_ RING,0
188,Packaging _ RING,0
189,Material prep _ Sensorblock,0
190,Milling _ Sensorblock,0
191,BW - Benchwork _ Sensorblock,0
192,Packaging _ Sensorblock,0
193,Material prep _ POST 2,0
194,Milling _ POST 2,0
195,BW - Benchwork _ POST 2,0
196,Packaging _ POST 2,0
197,Material prep _ post 4,0
198,Milling _ post 4,0
199,BW - Benchwork _ post 4,0
200,Packaging _ post 4,0
201,Material prep _ post 5,0
202,Milling _ post 5,0
203,BW - Benchwork _ post 5,0
204,Packaging _ post 5,0
205,Material prep _ post 7,0
206,Milling _ post 7,0
207,Packaging _ post 7,0
208,Material prep _ LENSGAS INTERFACE BLOCK,0
209,Milling _ LENSGAS INTERFACE BLOCK,0
210,BW - Benchwork _ LENSGAS INTERFACE BLOCK,0
211,Packaging _ LENSGAS INTERFACE BLOCK,0
212,Material prep _ 1/2TE Compens Guide 160mm,0
213,Milling _ 1/2TE Compens Guide 160mm,0
214,BW - Benchwork _ 1/2TE Compens Guide 160mm,0
215,Packaging _ 1/2TE Compens Guide 160mm,0
216,Material prep _ Temp Sensor Block,0
217,Milling _ Temp Sensor Block,0
218,BW - Benchwork _ Temp Sensor Block,0
219,Anodisin_ Temp Sensor Block,0
220,Packaging _ Temp Sensor Block,0
221,Material prep _ UPPER CABLE CLAMP,0
222,Milling _ UPPER CABLE CLAMP,0
223,BW - Benchwork _ UPPER CABLE CLAMP,0
224,Anodisin_ UPPER CABLE CLAMP,0
225,Packaging _ UPPER CABLE CLAMP,0
226,Material prep _ Al fcp switch holder,0
227,Milling _ Al fcp switch holder,0
228,BW - Benchwork _ Al fcp switch holder,0
229,Anodisin_ Al fcp switch holder,0
230,Packaging _ Al fcp switch holder,0
231,Material prep _ Connector Block,0
232,Milling _ Connector Block,0
233,BW - Benchwork _ Connector Block,0
234,Packaging _ Connector Block,0
235,Material prep _ Cable Clamp Base (M5),0
236,Milling _ Cable Clamp Base (M5),0
237,BW - Benchwork _ Cable Clamp Base (M5),0
238,Anodisin_ Cable Clamp Base (M5),0
239,Packaging _ Cable Clamp Base (M5),0
240,Material prep _ Block POS. 19,0
241,Milling _ Block POS. 19,0
242,Packaging _ Block POS. 19,0
243,Material prep _ Ynozzle Ducting V2 Cover,0
244,Milling _ Ynozzle Ducting V2 Cover,0
245,BW - Benchwork _ Ynozzle Ducting V2 Cover,0
246,Packaging _ Ynozzle Ducting V2 Cover,0
247,Material prep _ HINGE BLOCK BACK,0
248,Milling _ HINGE BLOCK BACK,0
249,BW - Benchwork _ HINGE BLOCK BACK,0
250,Packaging _ HINGE BLOCK BACK,0
251,Material prep _ Pos 4,0
252,Milling _ Pos 4,0
253,BW - Benchwork _ Pos 4,0
254,Packaging _ Pos 4,0
255,Material prep _ Interface y-equilizer 2,0
256,Milling _ Interface y-equilizer 2,0
257,BW - Benchwork _ Interface y-equilizer 2,0
258,Packaging _ Interface y-equilizer 2,0
259,Material prep _ Interface (FIXED),0
260,Milling _ Interface (FIXED),0
261,BW - Benchwork _ Interface (FIXED),0
262,Packaging _ Interface (FIXED),0
263,Material prep _ INTERFACE (ADJUSTABLE),0
264,Milling _ INTERFACE (ADJUSTABLE),0
265,BW - Benchwork _ INTERFACE (ADJUSTABLE),0
266,Packaging _ INTERFACE (ADJUSTABLE),0
267,Material prep _ Hinge block back lm2,0
268,Milling _ Hinge block back lm2,0
269,BW - Benchwork _ Hinge block back lm2,0
270,Packaging _ Hinge block back lm2,0
271,Material prep _ Hinge block LR,0
272,Milling _ Hinge block LR,0
273,BW - Benchwork _ Hinge block LR,0
274,Packaging _ Hinge block LR,0
275,Material prep _ Hinge Block LR2 (fixed),0
276,Milling _ Hinge Block LR2 (fixed),0
277,BW - Benchwork _ Hinge Block LR2 (fixed),0
278,Packaging _ Hinge Block LR2 (fixed),0
279,Material prep _ Hinge block (fixed) rm2,0
280,Milling _ Hinge block (fixed) rm2,0
281,BW - Benchwork _ Hinge block (fixed) rm2,0
282,Packaging _ Hinge block (fixed) rm2,0
283,Material prep _ Hinge Block LM2,0
284,Milling _ Hinge Block LM2,0
285,BW - Benchwork _ Hinge Block LM2,0
286,Packaging _ Hinge Block LM2,0
287,Material prep _ HINGE BLOCK (FIXED) LM2,0
288,Milling _ HINGE BLOCK (FIXED) LM2,0
