OrderID,ProductID,ProductName,Name,Quantity,Deadline
72,320, P1464-M2055-00.stp_[7277682],S02709(7277682),1,2025-03-12
73,321, P1464-M2057-00.stp_[7278476],S02709(7278476),1,2025-03-12
74,322, P1464-M2059-00.stp_[7279297],S02709(7279297),2,2025-03-12
75,304, P1464-M1011-00.stp_[7261698],S02707(7261698),6,2025-03-10
76,305, P1464-M1024-00.stp_[7262299],S02707(7262299),3,2025-03-10
77,306, P1464-M1027-00.stp_[7263714],S02707(7263714),2,2025-03-10
78,307, P1464-M2001-00.stp_[7264118],S02707(7264118),2,2025-03-10
79,308, P1464-M2003-00.stp_[7265172],S02707(7265172),4,2025-03-10
80,309, P1464-M2010-00.stp_[7266236],S02707(7266236),1,2025-03-10
81,310, P1464-M2015-00.stp_[7267848],S02707(7267848),2,2025-03-10
82,311, P1464-M2016-00.stp_[7268468],S02707(7268468),2,2025-03-10
83,312, P1464-M2017-00.stp_[7269980],S02707(7269980),1,2025-03-10
84,313, P1464-M2018-00.stp_[7270733],S02707(7270733),1,2025-03-10
85,3, bracket_[BD50-5085-007-C],S02703(BD50-5085-007-C),24,2025-04-04
86,4, bracket_[BD50-5085-009-C],S02701(BD50-5085-009-C),24,2025-04-04
87,16, Filling block_[00385-00-274-D],S02689(00385-00-274-D),200,2025-04-04
88,18, Plint fixing strip left_[00385-00-321-A],S02689(00385-00-321-A),100,2025-04-22
89,20, Plint fixing strip right_[00385-00-346-A],S02689(00385-00-346-A),100,2025-04-16
90,288, Single Rail / IGUS / WSQ-06S_[7005-2580-0005],S02666(7005-2580-0005),45,2025-03-26
91,344, GP Z-Adjustment Lever / 26241001_[7005-2580-0006],S02666(7005-2580-0006),3,2025-03-26
92,298, Hinge block rm2_[4022-631-80951],S02680(4022-631-80951),10,2025-04-04
93,354, leaf spring middle interface_[00528-02720-A],S02644(00528-02720-A),1,2025-03-28
94,353, hoisting bridge_[00528-02746-A],S02644(00528-02746-A),1,2025-03-28
95,156, Carriage_[GF3116T006L],S02617(GF3116T006L),20,2025-04-09
96,14, Height bearing clamp plate_[00385-00-102-C],S02615(00385-00-102-C),150,2025-04-04
97,17, Plint adjust strip_[00385-00-320-A],S02615(00385-00-320-A),150,2025-04-02
98,18, Plint fixing strip left_[00385-00-321-A],S02615(00385-00-321-A),100,2025-04-02
99,20, Plint fixing strip right_[00385-00-346-A],S02615(00385-00-346-A),100,2025-04-02
100,79, Hinge Block LM2_[4022-631-89301],S02615(4022-631-89301),53,2025-04-01
101,114, LSPH coverplate stud block_[4022-666-65702(R1)],S02586(4022-666-65702(R1)),75,2025-04-14
102,145, Anschlag_[4512-127-05186B],S02584(4512-127-05186B),500,2025-05-30
103,163, nul-graden arretsegment_[M0216-01-363-B],S02582(M0216-01-363-B),25,2025-04-23
104,345, Support block / 07201506_[7005-2580-0007],S02580(7005-2580-0007),32,2025-03-20
105,344, GP Z-Adjustment Lever / 26241001_[7005-2580-0006],S02560(7005-2580-0006),24,2025-04-01
106,151, ENDPLATE_[4598-011-70891B],S02558(4598-011-70891B),100,2025-04-21
107,267, Koppelstrip bovenligger iGate_[M.P04743],S02548(M.P04743),301,2025-02-04
108,46, BRIL_[4022-333-19505],S02525(4022-333-19505),100,2025-04-04
109,300, RH NXE RED RZ ENC PLATE SPPRT_[4022.683.44771],S02461(4022.683.44771),1,2025-02-18
110,279, RH RED FRAME -X COVER_[4022.622.61941],S02461(4022.622.61941),1,2025-02-18
111,337, RH RED RZ STOP RIGHT MOUNT_[4022.684.31741],S02461(4022.684.31741),1,2025-02-18
112,275, RH RED TURRET ELEC COVER C_[4022.684.31572],S02461(4022.684.31572),1,2025-02-18
113,280, RH RED EBOX MONO_[4022.622.61761],S02461(4022.622.61761),1,2025-02-18
115,270, METROFRAME BODY V02-00-B / 0119073001 _[7005-2480-0090],S02403(7005-2480-0090),4,2025-05-30
115,167, RH RED DYNAMIC STRAIN RELIEF B _[4022.684.32042],S02029(4022.684.32042),31,2025-05-31
