ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
22078-10-3;6043-2102-0500;0000022078;000010;3;S;NULL;2021-09-15;2022-01-14;35;35;U
22441-140-1;6539-0900-1107;0000022441;000140;1;S;NULL;2022-01-06;2022-02-03;400;400;U
22442-30-1;6539-1900-0001;0000022442;000030;1;S;NULL;2021-10-07;2022-02-03;500;500;U
22443-10-1;6539-1900-1401;0000022443;000010;1;S;NULL;2022-01-06;2022-02-03;303;303;U
22452-10-1;6047-1800-0004;0000022452;000010;1;S;NULL;2022-01-06;2022-01-31;1620;1620;U
22456-10-1;6782-2100-3303;0000022456;000010;1;S;X;2022-10-24;2022-10-24;500;500;U
22457-40-1;6782-2100-3203;0000022457;000040;1;S;X;2023-03-06;2023-03-06;300;300;U
22457-50-1;6782-2100-3303;0000022457;000050;1;S;X;2023-03-06;2023-03-06;100;100;U
22460-10-1;6782-2100-3203;0000022460;000010;1;S;X;2022-12-19;2022-12-19;500;500;U
22463-10-1;6782-2100-3203;0000022463;000010;1;S;X;2022-08-22;2022-08-22;500;500;U
22463-20-1;6782-2100-3303;0000022463;000020;1;S;X;2022-08-22;2022-08-22;200;200;U
22464-10-1;6782-2100-3203;0000022464;000010;1;S;X;2022-07-11;2022-07-11;1000;1000;U
22465-10-1;6782-2100-3203;0000022465;000010;1;S;X;2022-10-03;2022-10-03;500;500;U
22467-10-1;6649-1300-2410;0000022467;000010;1;S;NULL;2022-04-07;2022-04-07;8;8;U
22481-10-1;6799-1300-0026;0000022481;000010;1;S;X;2022-02-03;2022-02-24;192;192;U
22483-60-1;6736-1900-0306;0000022483;000060;1;S;X;2022-01-06;2022-01-28;96;96;U
22493-20-1;6318-2000-0504;0000022493;000020;1;S;NULL;2022-05-04;2022-05-04;100;100;U
22495-20-1;6337-1300-3601;0000022495;000020;1;S;NULL;2022-02-14;2022-02-14;432;432;U
22499-40-1;6736-1400-1815;0000022499;000040;1;S;X;2022-01-06;2022-01-12;400;200;U
22507-10-1;6337-2100-2300;0000022507;000010;1;S;NULL;2022-02-24;2022-02-24;52;50;U
22507-30-1;6337-2100-2200;0000022507;000030;1;S;NULL;2022-02-24;2022-02-24;56;54;U
22509-20-1;6410-1300-7102;0000022509;000020;1;S;NULL;2022-01-06;2022-02-11;420;420;U
22515-10-1;6074-2000-0900;0000022515;000010;1;S;NULL;2022-01-06;2022-02-04;2;2;U
22518-40-1;6337-1400-0622;0000022518;000040;1;S;NULL;2022-02-07;2022-02-07;210;210;U
22518-50-1;6337-1300-2501;0000022518;000050;1;S;NULL;2021-12-23;2022-01-03;252;252;U
22518-60-1;6337-1200-0604;0000022518;000060;1;S;NULL;2022-02-07;2022-02-07;252;252;U
22518-70-1;6337-1600-2218;0000022518;000070;1;S;NULL;2022-01-13;2022-01-13;56;56;U
22536-40-1;6736-1400-1815;0000022536;000040;1;S;X;2022-01-06;2022-01-19;400;400;U
22321-10-1;6761-2002-4501;0000022321;000010;1;S;NULL;2022-06-29;2022-06-29;3500;3500;U
22321-20-1;6761-1901-2801;0000022321;000020;1;S;NULL;2022-06-29;2022-06-29;3500;3500;U
22321-30-1;6761-1903-0703;0000022321;000030;1;S;NULL;2022-06-29;2022-06-29;3500;3500;U
22322-10-1;6761-2002-4401;0000022322;000010;1;S;NULL;2022-05-30;2022-05-30;2500;2500;U
22322-20-1;6761-1901-2801;0000022322;000020;1;S;NULL;2022-05-30;2022-05-30;2500;2500;U
22323-10-1;6761-2002-4301;0000022323;000010;1;S;NULL;2022-03-30;2022-03-30;10000;10000;U
22323-20-1;6761-1901-2801;0000022323;000020;1;S;NULL;2022-03-30;2022-03-30;10000;10000;U
22323-30-1;6761-1903-0403;0000022323;000030;1;S;NULL;2022-03-30;2022-03-30;10000;10000;U
22323-40-1;6761-2002-4301;0000022323;000040;1;S;NULL;2022-04-28;2022-04-28;10000;10000;U
22323-50-1;6761-1901-2801;0000022323;000050;1;S;NULL;2022-04-28;2022-04-28;10000;10000;U
22323-70-1;6761-2002-4301;0000022323;000070;1;S;NULL;2022-05-30;2022-05-30;4000;4000;U
22323-80-1;6761-1901-2801;0000022323;000080;1;S;NULL;2022-05-30;2022-05-30;4000;4000;U
22632-10-1;6799-1300-0026;0000022632;000010;1;S;X;2022-03-03;2022-03-17;288;288;U
22648-10-1;6023-1702-0405;0000022648;000010;1;S;NULL;2022-01-03;2022-02-01;804;804;U
22653-10-1;6043-2101-4100;0000022653;000010;1;S;NULL;2022-01-11;2022-02-18;1;1;U
22654-10-1;6001-1436-0501;0000022654;000010;1;S;NULL;2022-01-06;2022-01-17;20;20;U
22658-10-1;6043-2101-4100;0000022658;000010;1;S;NULL;2022-01-06;2022-01-07;1;1;U
22391-10-1;6799-1500-0301;0000022391;000010;1;S;NULL;2022-01-06;2022-02-11;10;10;U
22399-10-1;6782-2100-3203;0000022399;000010;1;S;X;2023-01-20;2023-01-20;200;200;U
22400-10-1;6782-2100-3203;0000022400;000010;1;S;X;2022-07-15;2022-07-15;300;300;U
22415-10-1;6808-1501-0104;0000022415;000010;1;S;NULL;2022-06-16;2022-06-16;100;100;U
22425-10-1;6410-2000-2900;0000022425;000010;1;S;NULL;2021-10-18;2022-03-11;50;50;U
22668-10-1;6337-1000-0012;0000022668;000010;1;S;NULL;2022-05-09;2022-06-13;500;500;U
22669-10-1;6337-1000-0012;0000022669;000010;1;S;NULL;2022-06-13;2022-06-27;500;500;U
22681-10-1;6337-1600-2218;0000022681;000010;1;S;NULL;2022-02-14;2022-02-14;100;100;U
22683-10-1;6337-1600-2218;0000022683;000010;1;S;NULL;2022-02-21;2022-02-21;100;100;U
22685-10-1;6808-1800-4903;0000022685;000010;1;S;NULL;2022-06-02;2022-06-02;400;400;U
22688-10-1;6661-2000-0000;0000022688;000010;1;S;NULL;2022-01-06;2022-01-13;1000;1000;U
22690-30-1;6318-2000-0504;0000022690;000030;1;S;NULL;2022-04-12;2022-04-12;100;100;U
22469-11-1;6934-1802-8104;0000022469;000011;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22780-30-1;6043-2101-4300;0000022780;000030;1;S;NULL;2022-01-06;2022-02-14;250;250;U
22780-40-1;6043-2101-5000;0000022780;000040;1;S;NULL;2022-01-06;2022-02-14;35;35;U
22780-50-1;6043-2102-0501;0000022780;000050;1;S;NULL;2022-01-06;2022-02-14;317;317;U
22783-10-1;6337-1901-0803;0000022783;000010;1;S;NULL;2022-01-31;2022-01-31;200;200;U
22802-40-1;6736-1400-1815;0000022802;000040;1;S;X;2022-01-06;2022-01-31;400;400;U
22805-10-1;6736-1900-0306;0000022805;000010;1;S;X;2022-01-10;2022-02-11;96;96;U
22822-20-1;6045-1904-5501;0000022822;000020;1;S;NULL;2021-12-23;2022-01-03;76;76;U
22843-10-1;6934-1901-8801;0000022843;000010;1;S;NULL;2022-01-26;2022-03-31;1000;1000;U
22846-10-1;6337-1800-4302;0000022846;000010;1;S;NULL;2022-03-02;2022-03-02;500;500;U
22849-10-1;6410-0700-1701;0000022849;000010;1;S;NULL;2022-01-26;2022-02-11;50;50;U
22852-10-1;6337-1000-0012;0000022852;000010;1;S;NULL;2022-05-05;2022-06-03;200;200;U
22852-20-1;6337-1000-0012;0000022852;000020;1;S;NULL;2022-05-09;2022-06-20;400;400;U
22861-10-1;6661-1300-3807;0000022861;000010;1;S;NULL;2022-01-14;2022-01-14;220;220;U
22861-30-1;6661-1000-0311;0000022861;000030;1;S;NULL;2022-01-14;2022-01-14;318;318;U
22869-60-1;6736-1503-9318;0000022869;000060;1;S;X;2022-01-06;2022-01-31;60;60;U
22875-10-1;6043-2101-4100;0000022875;000010;1;S;X;2022-01-12;2022-02-25;3;3;U
16331-640-2;6023-1701-0008;0000016331;000640;2;S;NULL;2022-01-06;2022-02-21;1610;1610;I
16330-450-2;6023-1702-0405;0000016330;000450;2;S;NULL;2021-12-29;2022-01-03;1187;1000;I
16559-180-2;6023-1900-1501;0000016559;000180;2;S;NULL;2022-01-06;2022-01-06;150;150;I
20381-111-4;6761-1903-6202;0000020381;000111;4;S;NULL;2021-11-03;2022-02-04;250;250;I
20398-40-2;6047-1800-7903;0000020398;000040;2;S;NULL;2022-01-31;2022-03-04;90;90;I
20802-10-2;6557-2001-1600;0000020802;000010;2;S;NULL;2021-12-20;2022-01-13;10;10;I
20805-90-1;6047-1800-7903;0000020805;000090;1;S;NULL;2021-12-29;2022-02-02;60;60;I
20827-80-2;6047-2000-8401;0000020827;000080;2;S;NULL;2021-12-29;2022-01-14;286;286;I
20920-50-1;6649-1000-0213;0000020920;000050;1;S;NULL;2022-02-17;2022-02-18;250;250;I
20765-20-2;6934-1802-8104;0000020765;000020;2;S;NULL;2021-12-17;2022-01-27;10;10;I
20827-80-1;6047-2000-8401;0000020827;000080;1;S;NULL;2021-12-29;2022-01-10;2;2;I
21058-20-5;6761-1200-0113;0000021058;000020;5;S;NULL;2021-12-03;2022-02-08;1331;1331;I
20920-50-2;6649-1000-0213;0000020920;000050;2;S;NULL;2022-02-17;2022-03-11;580;580;I
21182-110-2;6047-2100-0400;0000021182;000110;2;S;NULL;2021-12-29;2022-01-14;103;103;I
20935-770-2;6761-1901-2801;0000020935;000770;2;S;NULL;2021-12-10;2022-02-02;1730;730;I
21309-10-2;6050-1700-0010;0000021309;000010;2;S;NULL;2021-12-07;2022-01-21;31;31;I
21002-80-1;6649-1800-2802;0000021002;000080;1;S;NULL;2022-01-06;2022-02-23;125;125;I
21027-20-2;6602-1300-1004;0000021027;000020;2;S;X;2022-01-04;2022-01-14;180;180;I
21327-30-2;6932-1902-8204;0000021327;000030;2;S;NULL;2021-11-12;2022-02-17;2;2;I
21341-20-2;6047-2100-0400;0000021341;000020;2;S;NULL;2022-01-06;2022-03-07;204;204;I
21093-30-2;6934-1900-1103;0000021093;000030;2;S;NULL;2021-12-24;2022-02-09;496;496;I
21520-40-2;6298-1701-5705;0000021520;000040;2;S;NULL;2022-01-03;2022-01-10;10;10;I
21261-60-2;6047-1800-7803;0000021261;000060;2;S;NULL;2021-12-29;2022-01-14;248;248;I
21362-20-4;6774-1200-5707;0000021362;000020;4;S;NULL;2021-10-22;2022-03-25;13;13;I
21362-60-2;6774-1400-0701;0000021362;000060;2;S;NULL;2021-12-24;2022-02-10;7;7;I
21383-40-1;6649-1800-3701;0000021383;000040;1;S;NULL;2022-01-06;2022-01-13;492;492;I
21384-80-1;6649-1800-3401;0000021384;000080;1;S;NULL;2022-01-06;2022-01-21;136;136;I
21391-20-1;6337-1800-2606;0000021391;000020;1;S;NULL;2022-01-31;2022-01-31;200;100;I
21393-20-2;6337-1901-0803;0000021393;000020;2;S;NULL;2022-02-07;2023-01-03;50;50;I
21815-20-1;6045-2000-4400;0000021815;000020;1;S;NULL;2021-11-25;2021-12-20;90;33;I
21492-10-1;6337-1000-0012;0000021492;000010;1;S;NULL;2022-02-14;2022-02-14;850;292;I
21555-40-2;6047-1800-7803;0000021555;000040;2;S;NULL;2022-01-06;2022-03-04;62;62;I
21612-10-1;6337-1000-0012;0000021612;000010;1;S;NULL;2022-02-28;2022-02-28;460;410;I
21930-30-2;6318-1800-2804;0000021930;000030;2;S;NULL;2021-11-10;2022-01-03;174;174;I
21951-10-1;6337-1600-0206;0000021951;000010;1;S;NULL;2022-02-14;2022-02-14;200;154;I
22012-20-1;6782-1401-0002;0000022012;000020;1;S;X;2022-04-01;2022-04-01;1000;1000;I
22012-40-1;6782-1401-0103;0000022012;000040;1;S;X;2022-04-01;2022-04-01;1000;1000;I
21659-20-2;6649-1800-3801;0000021659;000020;2;S;NULL;2021-11-01;2022-02-15;150;150;I
22081-30-1;6799-1600-2109;0000022081;000030;1;S;NULL;2022-01-06;2022-03-18;70;70;I
21769-11-2;6814-1900-5103;0000021769;000011;2;S;X;2021-12-14;2022-02-02;63;63;I
21771-50-1;6808-1800-3105;0000021771;000050;1;S;NULL;2022-01-20;2022-01-20;200;147;I
22139-10-2;6808-1700-2304;0000022139;000010;2;S;NULL;2022-01-06;2022-02-25;130;130;I
22154-10-2;6649-2000-2803;0000022154;000010;2;S;NULL;2021-12-28;2022-02-01;8;8;I
22162-20-1;6045-1903-5102;0000022162;000020;1;S;X;2022-01-07;2022-01-07;12;12;I
22162-30-1;6045-1903-5102;0000022162;000030;1;S;X;2022-01-07;2022-01-07;60;60;I
22162-40-1;6045-1903-5102;0000022162;000040;1;S;X;2022-01-07;2022-01-07;40;40;I
22162-50-1;6045-1903-5102;0000022162;000050;1;S;X;2022-01-07;2022-01-07;210;210;I
22208-80-1;6782-2100-3203;0000022208;000080;1;S;NULL;2022-02-01;2022-02-01;1484;1484;I
21825-40-1;6649-1000-0213;0000021825;000040;1;S;NULL;2022-02-18;2022-02-18;994;994;I
21837-160-1;6932-1902-7502;0000021837;000160;1;S;NULL;2021-12-30;2022-01-26;375;375;I
21895-130-2;6410-1700-9302;0000021895;000130;2;S;NULL;2021-12-24;2022-01-31;1;1;I
22284-10-1;6557-2100-0000;0000022284;000010;1;S;NULL;2022-02-08;2022-02-08;75;59;I
22290-30-1;6337-1600-2218;0000022290;000030;1;S;NULL;2022-01-18;2022-01-18;224;166;I
22300-10-1;6298-2102-0100;0000022300;000010;1;S;NULL;2021-12-08;2021-12-30;840;840;I
22300-11-1;6298-2102-0100;0000022300;000011;1;S;NULL;2021-12-08;2022-03-01;240;240;I
22300-30-1;6298-2102-0200;0000022300;000030;1;S;NULL;2022-01-05;2022-01-25;480;480;I
21920-10-1;6337-1400-0622;0000021920;000010;1;S;NULL;2022-01-05;2022-01-05;840;474;I
21921-40-1;6337-1200-0200;0000021921;000040;1;S;NULL;2022-01-03;2022-01-03;180;160;I
21959-10-2;6047-2100-0300;0000021959;000010;2;S;NULL;2021-12-29;2022-01-21;141;135;I
21959-20-2;6047-2100-0300;0000021959;000020;2;S;NULL;2022-01-10;2022-02-04;325;325;I
22066-10-2;6337-1000-0012;0000022066;000010;2;S;NULL;2022-01-17;2022-03-07;507;507;I
22387-30-2;6298-2000-4402;0000022387;000030;2;S;NULL;2021-12-15;2022-01-13;48;48;I
22258-20-2;6410-1600-2803;0000022258;000020;2;S;NULL;2021-12-30;2022-04-14;6;6;I
22262-10-2;6318-1200-4602;0000022262;000010;2;S;NULL;2021-12-13;2022-01-12;98;98;I
22285-10-2;6557-2100-0000;0000022285;000010;2;S;NULL;2022-01-06;2022-02-03;16;16;I
22290-10-1;6337-1000-0012;0000022290;000010;1;S;NULL;2022-03-28;2022-03-28;1120;630;I
22295-10-2;6602-1700-1304;0000022295;000010;2;S;NULL;2021-12-28;2022-01-12;5965;5965;I
22306-30-1;6966-1700-0008;0000022306;000030;1;S;X;2022-01-12;2022-01-12;235;235;I
22307-10-1;6966-1700-0008;0000022307;000010;1;S;X;2022-01-26;2022-01-26;480;480;I
22313-80-1;6539-1301-0502;0000022313;000080;1;S;NULL;2022-01-04;2022-02-03;2000;2000;I
22012-10-1;6782-2100-0201;0000022012;000010;1;S;X;2022-04-01;2022-04-01;1000;1000;I
22012-30-1;6782-1902-8900;0000022012;000030;1;S;X;2022-04-01;2022-04-01;1000;1000;I
22345-60-1;6047-1800-0004;0000022345;000060;1;S;NULL;2022-01-06;2022-01-18;1355;1013;I
22360-90-1;6649-1801-5604;0000022360;000090;1;S;NULL;2022-01-06;2022-01-21;589;589;I
22360-90-2;6649-1801-5604;0000022360;000090;2;S;NULL;2022-01-06;2022-02-03;200;200;I
22548-10-2;6043-2101-4100;0000022548;000010;2;S;X;2021-12-24;2022-01-11;6;6;I
22561-20-2;6045-1903-0101;0000022561;000020;2;S;NULL;2021-12-30;2022-01-12;38;38;I
22601-40-1;6782-1401-0103;0000022601;000040;1;S;X;2023-10-03;2023-10-03;800;800;I
22617-10-2;6298-2101-5300;0000022617;000010;2;S;NULL;2021-11-16;2022-01-14;24;24;I
22128-100-2;6410-1100-1905;0000022128;000100;2;S;NULL;2021-12-01;2022-02-04;50;50;I
22128-110-2;6410-1100-1905;0000022128;000110;2;S;NULL;2021-12-01;2022-02-04;21;21;I
22185-10-1;6337-1700-7602;0000022185;000010;1;S;NULL;2022-01-04;2022-01-04;5250;4250;I
22193-10-2;6932-1701-7400;0000022193;000010;2;S;NULL;2021-12-28;2022-01-28;130;130;I
22208-70-1;6782-2100-3103;0000022208;000070;1;S;NULL;2022-02-01;2022-02-01;158;158;I
22752-20-1;6045-1903-5102;0000022752;000020;1;S;NULL;2022-01-07;2022-01-07;375;375;I
22761-20-2;6337-1000-0012;0000022761;000020;2;S;NULL;2022-01-10;2022-03-07;30;30;I
16331-600-3;6023-1701-0008;0000016331;000600;3;S;NULL;2022-01-06;2022-01-14;710;710;I
20381-111-3;6761-1903-6202;0000020381;000111;3;S;NULL;2021-11-03;2022-01-14;604;604;I
20935-780-3;6761-1903-0402;0000020935;000780;3;S;NULL;2021-12-10;2022-02-02;730;730;I
21362-10-3;6774-1200-6301;0000021362;000010;3;S;NULL;2021-10-07;2022-01-06;1;1;I
21809-10-6;6649-1400-0509;0000021809;000010;6;S;NULL;2021-12-21;2022-02-01;4;4;I
21962-30-3;6410-1502-3303;0000021962;000030;3;S;NULL;2021-12-08;2022-02-11;3;3;I
21896-20-3;6142-1100-2008;0000021896;000020;3;S;NULL;2021-11-02;2022-02-01;200;200;I
22071-10-3;6050-1900-2401;0000022071;000010;3;S;NULL;2022-01-03;2022-01-12;114;66;I
22495-10-3;6337-1200-8507;0000022495;000010;3;S;NULL;2021-10-21;2022-01-31;200;200;I
22490-10-2;6045-2000-3903;0000022490;000010;2;S;NULL;2021-12-16;2022-01-14;58;58;I
22518-10-1;6337-1000-0012;0000022518;000010;1;S;NULL;2022-04-15;2022-04-15;1120;1040;I
22889-10-1;6043-2101-4900;0000022889;000010;1;S;X;2022-01-06;2022-02-18;1;1;I
22889-20-1;6043-2101-4100;0000022889;000020;1;S;X;2022-01-06;2022-02-18;4;4;I
22889-30-1;6043-2101-4200;0000022889;000030;1;S;X;2022-01-06;2022-02-18;4;4;I
22890-10-1;6043-2101-4200;0000022890;000010;1;S;X;2022-01-06;2022-02-04;3;3;I
22890-20-1;6043-2101-4700;0000022890;000020;1;S;X;2022-01-06;2022-02-04;1;1;I
22890-30-1;6043-2101-4500;0000022890;000030;1;S;X;2022-01-06;2022-02-04;1;1;I
22890-40-1;6043-2101-4900;0000022890;000040;1;S;X;2022-01-06;2022-02-04;1;1;I
22891-10-1;6043-2101-4500;0000022891;000010;1;S;X;2021-12-10;2022-02-04;2;2;I
22891-20-1;6043-2101-4900;0000022891;000020;1;S;X;2021-12-10;2022-02-04;2;2;I
22891-30-1;6043-2101-4100;0000022891;000030;1;S;X;2021-12-10;2022-02-04;16;16;I
22892-10-1;6043-2101-4500;0000022892;000010;1;S;X;2022-01-06;2022-02-11;1;1;I
22892-20-1;6043-2101-4900;0000022892;000020;1;S;X;2022-01-06;2022-02-11;1;1;I
22892-40-1;6043-2101-4300;0000022892;000040;1;S;X;2022-01-06;2022-02-11;4;4;I
22899-10-1;6799-1300-0026;0000022899;000010;1;S;NULL;2022-03-29;2022-03-29;288;288;I
22899-40-1;6799-1300-0026;0000022899;000040;1;S;NULL;2022-04-12;2022-04-12;288;288;I
22899-60-1;6799-1300-0026;0000022899;000060;1;S;NULL;2022-04-25;2022-04-25;288;288;I
22900-20-1;6023-1701-0008;0000022900;000020;1;S;NULL;2022-04-01;2022-04-01;500;500;I
22901-10-1;6023-1702-2905;0000022901;000010;1;S;NULL;2022-11-18;2022-11-18;200;200;I
22902-10-1;6023-1900-1501;0000022902;000010;1;S;NULL;2022-11-18;2022-11-18;200;200;I
22910-10-1;6736-1900-0306;0000022910;000010;1;S;X;2022-01-20;2022-02-07;96;96;I
22509-10-2;6410-1300-5303;0000022509;000010;2;S;NULL;2022-01-03;2022-02-04;420;420;I
22911-10-1;6736-1900-0306;0000022911;000010;1;S;X;2022-01-25;2022-02-14;96;96;I
22912-30-1;6661-1100-2509;0000022912;000030;1;S;NULL;2022-01-06;2022-01-13;120;120;I
22916-10-1;6782-2100-3203;0000022916;000010;1;S;X;2022-10-21;2022-10-21;288;288;I
22916-20-1;6782-1401-0103;0000022916;000020;1;S;X;2022-10-21;2022-10-21;288;288;I
22917-30-1;6782-1401-0002;0000022917;000030;1;S;X;2023-01-20;2023-01-20;240;240;I
22918-10-1;6782-2100-3203;0000022918;000010;1;S;X;2023-03-17;2023-03-17;192;192;I
22918-20-1;6782-1401-0103;0000022918;000020;1;S;X;2023-03-17;2023-03-17;192;192;I
22920-20-1;6774-1400-0701;0000022920;000020;1;S;NULL;2022-03-10;2022-04-05;100;100;I
22920-30-1;6774-1500-0800;0000022920;000030;1;S;NULL;2022-03-10;2022-03-10;50;50;I
22920-40-1;6774-1200-5105;0000022920;000040;1;S;NULL;2022-03-10;2022-04-05;50;50;I
22921-10-1;6774-1800-1800;0000022921;000010;1;S;NULL;2022-04-11;2022-04-11;25;25;I
22921-50-1;6774-1500-0800;0000022921;000050;1;S;NULL;2022-04-15;2022-04-15;50;50;I
22922-20-1;6774-1400-0701;0000022922;000020;1;S;NULL;2022-04-28;2022-04-28;100;100;I
22922-30-1;6774-1300-8704;0000022922;000030;1;S;NULL;2022-04-28;2022-04-28;50;50;I
22927-10-1;6782-2100-3303;0000022927;000010;1;S;X;2023-12-01;2023-12-01;384;384;I
22928-10-1;6782-2100-3303;0000022928;000010;1;S;X;2024-02-01;2024-02-01;432;432;I
22929-10-1;6782-2100-3303;0000022929;000010;1;S;X;2024-03-01;2024-03-01;384;384;I
22930-20-1;6782-2100-3203;0000022930;000020;1;S;X;2024-03-29;2024-03-29;336;336;I
22931-20-1;6782-2100-3203;0000022931;000020;1;S;X;2024-05-01;2024-05-01;288;288;I
22932-10-1;6782-2100-3203;0000022932;000010;1;S;X;2024-05-31;2024-05-31;336;336;I
22934-10-1;6782-2100-3203;0000022934;000010;1;S;X;2024-08-01;2024-08-01;336;336;I
22937-10-1;6782-2100-3203;0000022937;000010;1;S;X;2024-11-01;2024-11-01;288;288;I
22939-10-1;6782-2100-3203;0000022939;000010;1;S;X;2024-12-31;2024-12-31;864;864;I
22940-10-1;6782-2100-3203;0000022940;000010;1;S;X;2025-01-31;2025-01-31;864;864;I
22941-20-1;6744-1900-1700;0000022941;000020;1;S;NULL;2022-01-19;2022-02-04;150;150;I
22941-30-1;6744-1900-1800;0000022941;000030;1;S;NULL;2022-01-19;2022-02-04;150;150;I
22941-40-1;6744-1900-4200;0000022941;000040;1;S;NULL;2022-01-21;2022-02-04;200;200;I
22941-60-1;6744-2000-6901;0000022941;000060;1;S;NULL;2022-01-19;2022-02-04;200;200;I
22941-70-1;6744-1900-5501;0000022941;000070;1;S;NULL;2022-01-19;2022-02-04;200;200;I
22942-20-1;6298-2102-0100;0000022942;000020;1;S;NULL;2022-05-04;2022-05-04;1080;1080;I
22942-40-1;6298-2102-0100;0000022942;000040;1;S;NULL;2022-05-18;2022-05-18;1080;1080;I
22943-30-1;6043-2101-4700;0000022943;000030;1;S;NULL;2022-01-20;2022-03-04;1;1;I
22943-40-1;6043-2101-4500;0000022943;000040;1;S;NULL;2022-01-20;2022-03-04;1;1;I
22943-50-1;6043-2101-4900;0000022943;000050;1;S;NULL;2022-01-20;2022-03-04;1;1;I
22945-10-1;6337-1400-0622;0000022945;000010;1;S;NULL;2022-05-09;2022-05-09;200;200;I
22949-10-1;6996-2104-3800;0000022949;000010;1;S;NULL;2022-01-25;2022-01-25;500;500;I
22955-10-1;6782-1401-0103;0000022955;000010;1;S;X;2022-09-27;2022-09-27;1300;1300;I
22955-20-1;6782-2100-3203;0000022955;000020;1;S;X;2022-09-27;2022-09-27;1300;1300;I
22955-30-1;6782-1401-0002;0000022955;000030;1;S;X;2022-09-27;2022-09-27;1300;1300;I
22959-10-1;6782-2100-3203;0000022959;000010;1;S;X;2022-05-09;2022-05-09;2000;2000;I
22959-30-1;6782-1401-0103;0000022959;000030;1;S;X;2022-05-09;2022-05-09;2000;2000;I
22967-10-1;6050-1900-0003;0000022967;000010;1;S;NULL;2022-04-14;2022-04-14;500;500;I
22969-10-1;6736-1601-6910;0000022969;000010;1;S;X;2022-01-24;2022-02-17;480;480;I
22970-10-1;6736-1601-6910;0000022970;000010;1;S;X;2022-01-31;2022-02-17;384;384;I
22972-10-1;6337-1400-0622;0000022972;000010;1;S;NULL;2022-01-04;2022-03-07;350;350;I
22972-20-1;6337-1400-0622;0000022972;000020;1;S;NULL;2022-02-17;2022-03-21;450;450;I
22982-10-1;6043-2101-4600;0000022982;000010;1;S;NULL;2022-01-06;2022-02-11;1;1;I
22982-20-1;6043-2101-4100;0000022982;000020;1;S;NULL;2022-01-06;2022-02-11;1;1;I
22982-30-1;6043-2101-4700;0000022982;000030;1;S;NULL;2022-01-06;2022-02-11;1;1;I
22982-40-1;6043-2101-4900;0000022982;000040;1;S;NULL;2022-01-06;2022-02-11;1;1;I
22982-50-1;6043-2101-4500;0000022982;000050;1;S;NULL;2022-01-06;2022-02-11;1;1;I
22987-10-1;6661-1100-2605;0000022987;000010;1;S;NULL;2021-12-23;2022-01-11;120;60;I
22988-10-1;6318-1200-4602;0000022988;000010;1;S;NULL;2021-12-23;2022-03-01;1000;1000;I
22990-10-1;6602-1200-0303;0000022990;000010;1;S;NULL;2022-02-24;2022-02-24;5400;5400;I
22991-10-1;6043-2101-4900;0000022991;000010;1;S;NULL;2022-01-07;2022-02-18;1;1;I
22991-20-1;6043-2101-4600;0000022991;000020;1;S;NULL;2022-01-07;2022-02-18;24;24;I
22991-40-1;6043-2101-4700;0000022991;000040;1;S;NULL;2022-01-07;2022-02-18;1;1;I
22991-50-1;6043-2101-4500;0000022991;000050;1;S;NULL;2022-01-07;2022-02-18;1;1;I
22991-60-1;6043-2101-4900;0000022991;000060;1;S;NULL;2022-01-07;2022-02-18;1;1;I
22992-20-1;6043-2101-4700;0000022992;000020;1;S;NULL;2022-01-14;2022-02-25;1;1;I
22992-30-1;6043-2101-4500;0000022992;000030;1;S;NULL;2022-01-14;2022-02-25;1;1;I
22992-40-1;6043-2101-4900;0000022992;000040;1;S;NULL;2022-01-14;2022-02-25;1;1;I
22993-10-1;6043-2101-4700;0000022993;000010;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22993-20-1;6043-2101-4900;0000022993;000020;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22993-30-1;6043-2101-4500;0000022993;000030;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22994-30-1;6043-2101-4700;0000022994;000030;1;S;NULL;2022-01-27;2022-03-04;1;1;I
22994-40-1;6043-2101-4500;0000022994;000040;1;S;NULL;2022-01-27;2022-03-04;1;1;I
22994-50-1;6043-2101-4900;0000022994;000050;1;S;NULL;2022-01-27;2022-03-04;1;1;I
22996-10-1;6043-2101-4700;0000022996;000010;1;S;NULL;2022-01-27;2022-03-04;1;1;I
22996-20-1;6043-2101-4900;0000022996;000020;1;S;NULL;2022-01-27;2022-03-04;1;1;I
22996-30-1;6043-2101-4500;0000022996;000030;1;S;NULL;2022-01-27;2022-03-04;1;1;I
23001-10-1;6043-2101-4700;0000023001;000010;1;S;NULL;2022-01-17;2022-03-04;1;1;I
23001-20-1;6043-2101-4500;0000023001;000020;1;S;NULL;2022-01-17;2022-03-04;1;1;I
23001-30-1;6043-2101-4900;0000023001;000030;1;S;NULL;2022-01-17;2022-03-04;1;1;I
23001-40-1;6043-2101-4200;0000023001;000040;1;S;NULL;2022-01-17;2022-03-04;1;1;I
23013-10-1;6661-1200-0004;0000023013;000010;1;S;NULL;2022-01-13;2022-01-13;21;21;I
