ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
22080-10-1;6799-1300-0026;0000022080;000010;1;S;X;2022-01-06;2022-01-13;288;101;U
22093-30-1;6761-1903-0703;0000022093;000030;1;S;NULL;2022-06-29;2022-06-29;32;16;U
22109-10-1;6774-1200-5707;0000022109;000010;1;S;NULL;2022-01-06;2022-03-24;50;50;U
22365-10-1;6649-1000-0213;0000022365;000010;1;S;NULL;2022-05-19;2022-05-19;1520;1520;U
22369-20-1;6043-2101-4600;0000022369;000020;1;S;X;2021-12-30;2022-01-19;1;1;U
22369-30-1;6043-2101-4100;0000022369;000030;1;S;X;2021-12-30;2022-01-19;6;6;U
22369-40-1;6043-2101-4700;0000022369;000040;1;S;X;2021-12-30;2022-01-19;1;1;U
22369-50-1;6043-2101-4500;0000022369;000050;1;S;X;2021-12-30;2022-01-19;1;1;U
22369-60-1;6043-2101-4900;0000022369;000060;1;S;X;2021-12-30;2022-01-19;1;1;U
22390-20-1;6318-1500-4008;0000022390;000020;1;S;NULL;2022-02-02;2022-02-02;336;336;U
22392-10-1;6799-1300-0026;0000022392;000010;1;S;X;2022-02-03;2022-02-17;96;96;U
22399-50-1;6782-2100-3303;0000022399;000050;1;S;X;2023-01-20;2023-01-20;220;220;U
22458-40-1;6782-2100-3203;0000022458;000040;1;S;X;2023-01-16;2023-01-16;500;500;U
22459-10-1;6782-2100-3203;0000022459;000010;1;S;X;2023-02-13;2023-02-13;200;200;U
22466-10-1;6649-1300-2410;0000022466;000010;1;S;NULL;2022-04-07;2022-04-07;14;14;U
22468-10-1;6782-2100-3203;0000022468;000010;1;S;X;2022-06-03;2022-06-03;1000;1000;U
22469-10-1;6934-1802-8104;0000022469;000010;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22236-10-1;6782-1900-1900;0000022236;000010;1;S;X;2022-04-15;2022-05-03;216;216;U
22236-20-1;6782-1401-0002;0000022236;000020;1;S;X;2022-04-15;2022-05-03;216;216;U
22245-20-1;6782-2100-3203;0000022245;000020;1;S;X;2022-07-28;2022-07-28;192;192;U
22247-10-1;6782-2100-3203;0000022247;000010;1;S;X;2022-12-23;2022-12-23;480;480;U
22248-10-1;6782-2100-3203;0000022248;000010;1;S;X;2023-01-25;2023-01-25;480;480;U
22249-10-1;6782-2100-3203;0000022249;000010;1;S;X;2023-02-22;2023-02-22;480;480;U
22250-20-1;6782-2100-3203;0000022250;000020;1;S;X;2022-11-25;2022-11-25;1080;1080;U
22251-20-1;6782-2100-3203;0000022251;000020;1;S;X;2023-01-27;2023-01-27;1800;1800;U
22257-50-1;6410-1600-1005;0000022257;000050;1;S;NULL;2022-01-03;2022-02-18;60;60;U
22258-30-1;6410-1600-2803;0000022258;000030;1;S;NULL;2022-02-03;2022-04-29;40;40;U
22282-10-1;6557-2100-0000;0000022282;000010;1;S;NULL;2022-02-03;2022-02-03;75;75;U
22287-20-1;6557-2000-3002;0000022287;000020;1;S;NULL;2022-03-01;2022-03-01;125;125;U
22289-10-1;6557-2000-3000;0000022289;000010;1;S;NULL;2022-01-06;2022-01-28;125;125;U
22290-40-1;6337-1800-4302;0000022290;000040;1;S;NULL;2022-02-28;2022-02-28;640;640;U
22291-10-1;6761-1200-5703;0000022291;000010;1;S;NULL;2022-05-12;2022-05-12;450;450;U
22296-70-1;6298-2102-0100;0000022296;000070;1;S;NULL;2021-11-30;2021-12-17;600;80;U
22302-30-1;6318-1500-4008;0000022302;000030;1;S;NULL;2022-02-02;2022-02-02;108;108;U
22302-40-1;6318-1500-4008;0000022302;000040;1;S;NULL;2022-02-02;2022-02-02;228;228;U
22303-10-1;6557-2100-0100;0000022303;000010;1;S;NULL;2022-02-03;2022-02-03;25;25;U
22308-10-1;6966-1700-0008;0000022308;000010;1;S;X;2022-01-26;2022-01-26;480;480;U
22309-10-1;6966-1700-0008;0000022309;000010;1;S;X;2022-03-16;2022-03-16;480;480;U
22313-20-1;6539-1301-0302;0000022313;000020;1;S;NULL;2021-09-23;2022-02-03;500;500;U
22313-30-1;6539-1301-0203;0000022313;000030;1;S;NULL;2021-09-23;2022-02-03;500;500;U
22313-60-1;6539-1301-0203;0000022313;000060;1;S;NULL;2022-01-06;2022-02-03;250;250;U
22469-12-1;6934-1802-8104;0000022469;000012;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22469-13-1;6934-1802-8104;0000022469;000013;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22469-14-1;6934-1802-8104;0000022469;000014;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22469-16-1;6934-1802-8104;0000022469;000016;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22007-50-1;6410-1900-1903;0000022007;000050;1;S;NULL;2022-01-03;2022-02-04;40;40;U
22322-30-1;6761-1903-0603;0000022322;000030;1;S;NULL;2022-05-30;2022-05-30;2500;2500;U
22323-60-1;6761-1903-0403;0000022323;000060;1;S;NULL;2022-04-28;2022-04-28;10000;10000;U
22326-20-1;6337-1800-2606;0000022326;000020;1;S;NULL;2022-02-21;2022-02-21;105;105;U
22327-20-1;6337-1000-0012;0000022327;000020;1;S;NULL;2022-03-07;2022-04-25;500;500;U
22337-10-1;6001-2035-5500;0000022337;000010;1;S;NULL;2022-01-06;2022-01-14;50;50;U
22340-10-1;6774-1200-6301;0000022340;000010;1;S;NULL;2022-02-02;2022-04-07;30;30;U
22340-20-1;6774-1200-5707;0000022340;000020;1;S;NULL;2022-02-02;2022-03-24;50;50;U
22340-40-1;6774-1300-0301;0000022340;000040;1;S;NULL;2022-02-02;2022-06-23;100;100;U
22348-10-1;6736-1200-0302;0000022348;000010;1;S;X;2022-01-06;2022-01-07;60;60;U
22349-10-1;6799-1300-0026;0000022349;000010;1;S;X;2022-02-03;2022-02-25;192;192;U
22360-10-1;6649-1400-0509;0000022360;000010;1;S;NULL;2022-02-03;2022-03-31;784;784;U
22360-20-1;6649-1705-5802;0000022360;000020;1;S;NULL;2022-02-03;2022-02-17;250;250;U
22360-60-1;6649-1800-4603;0000022360;000060;1;S;NULL;2022-01-06;2022-01-19;200;140;U
22360-70-1;6649-1800-4503;0000022360;000070;1;S;NULL;2022-01-06;2022-01-17;900;900;U
22030-20-1;6649-1300-2410;0000022030;000020;1;S;NULL;2022-04-07;2022-04-07;10;10;U
22039-10-1;6649-1300-2410;0000022039;000010;1;S;NULL;2022-04-07;2022-04-07;10;10;U
22040-10-1;6649-1300-2410;0000022040;000010;1;S;NULL;2022-04-07;2022-04-07;10;10;U
22046-10-1;6410-0600-6017;0000022046;000010;1;S;NULL;2021-12-21;2022-03-04;50;50;U
