Entity,EntityID,EventName,EventID,LocationID,LocationName,Time
Item,1070,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1071,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1071,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1071,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1071,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1071,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1071,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1071,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1071,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1071,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1071,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1072,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1072,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1072,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1072,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1072,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1072,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1072,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1072,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1072,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1072,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1073,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1073,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1073,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1073,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1073,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1073,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1073,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1073,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1073,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1073,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1074,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1074,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1074,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1074,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1074,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1074,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1074,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1074,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1074,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1074,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1075,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1075,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1075,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1075,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1075,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1075,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1075,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1075,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1075,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1075,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1076,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1076,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1076,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1076,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1076,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1076,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1076,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1076,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1076,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1076,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1077,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1077,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1077,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1077,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1077,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1077,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1077,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1077,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1077,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1077,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1078,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1078,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1078,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1078,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1078,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1078,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1078,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1078,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1078,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1078,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1079,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1079,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1079,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1079,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1079,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1079,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1079,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1079,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1079,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1079,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1080,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1080,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1080,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1080,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1080,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1080,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1080,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1080,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1080,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1080,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1081,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1081,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1081,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1081,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1081,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1081,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1081,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
