,PN,Q,Deadline,Operation,StartTime,ProcessTime,ExpectedEnd,SimEnd,Status
1,[4022-637-29301],40,2026-01-16 10:00:00,PACK - Packaging (VERP_P),623,120.0,743.0,743,Completed
2,[4022-666-3837-1],115,2025-11-19 09:00:00,BW - Benchwork (BKW_01),961,435.0,1396.0,1396,Completed
0,[4023-002-36551],25,2026-01-16 08:00:00,PACK - Packaging (VERP_P),494,125.0,619.0,619,Completed
