PN,Quantity,Work Orders/Start,Work Orders/End,Work Orders/Work Center,Work Orders/Expected Duration
[00385-00-113A],700,2026-08-27 08:00:00,2026-08-27 19:40:00,MP3_(UITG_M),700.0
[4022.666.20971-TBRM MCH],500,2026-08-27 19:50:00,2026-08-28 12:10:00,MP3_(UITG_M),500.0
[7005-2580-0014],5,2026-08-28 12:20:00,2026-08-28 12:30:00,MP3_(UITG_M),5.0
[7005-2580-0015],5,2026-08-28 12:40:00,2026-08-28 12:50:00,MP3_(UITG_M),5.0
[7005-2580-0010],4,2026-08-28 12:40:00,2026-08-28 12:50:00,MP3_(UITG_M),1.0
[4022.666.20971-TBRM MCH],500,2026-10-14 08:00:00,2026-10-14 16:20:00,MP3_(UITG_M),500.0
N26241508V01-04 - JH Top Cover,4,2026-10-15 08:00:00,2026-10-15 12:00:00,MP3_(UITG_M),240.0
N26241507V01-04 - JH Bottom Cover,4,2026-10-15 16:00:00,2026-10-15 16:10:00,MP3_(UITG_M),4.0
