"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"[00385-00-321-A] Plint fixing strip left","[00385-00-321-A] Plint fixing strip left","[5603-0000-0004] STAAL S235JRC+C blank plat 30x20","mm","42.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","8.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Passivating","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00385-00-329-A] End plate finger safety hinge","[00385-00-329-A] End plate finger safety hinge","[5603-0000-0006] STAAL S235JRC+C blank plat 20x5","mm","68.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Passivating","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00385-00-346-A] Plint fixing strip right","[00385-00-346-A] Plint fixing strip right","[5603-0000-0004] STAAL S235JRC+C blank plat 30x20","mm","42.0","mm","Automatic Sawing (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","8.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Passivating","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00429-00-166 C] C//[Q] cradle block","[00429-00-166 C] C//[Q] cradle block","[5990-0000-0016] Gietwerk CRADLE BLOCK","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_01)","40.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00429-00-249-A] Plint adjust strip","[00429-00-249-A] Plint adjust strip","[5603-0000-0013] S235JRC+C blank plat 40x10 (ca 3-3,5 mtr)","mm","26.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Passivating","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00429-00-662-B] Arret lever","[00429-00-662-B] Arret lever","[5601-0000-0007] ALU 6082 T6 vk 30","mm","272.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","14.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00522-01564-A] XD F&T plate plug","[00522-01564-A] XD F&T plate plug","[5601-0000-0112] ALU 6082 T6 plat 50x20","mm","35.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00522-01696-A] bma plug 2","[00522-01696-A] bma plug 2","[5602-0000-0006] RVS 304/304L wgw plat 25x12","mm","83.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","15.0"
